event	verdict	n_row	n_inbeam	inbeam_labels
61843	all-fc	14	1	nu-candidate
61997	keep	9	1	STM
62011	tgm	9	1	TGM
62019	keep	16	1	STM
62149	all-fc	13	1	nu-candidate
62209	no-inbeam-bundle	13	0	-
62231	tgm	11	1	TGM
62281	all-fc	18	1	nu-candidate
62303	keep	12	1	STM
62327	tgm	10	1	TGM
62429	lm	9	1	LM
62459	keep	14	1	nu-candidate
62473	keep	9	1	STM
62495	keep	15	1	nu-candidate
62561	all-fc	13	1	nu-candidate
62583	tgm	11	1	TGM
62613	keep	13	1	nu-candidate
62721	all-fc	12	1	nu-candidate
62825	no-inbeam-bundle	10	0	-
62943	keep	19	1	STM
62979	keep	10	1	STM
63097	keep	12	1	nu-candidate
63163	keep	8	1	nu-candidate
63273	all-fc	15	1	nu-candidate
63359	all-fc	16	1	nu-candidate
63427	all-fc	12	1	nu-candidate
63493	keep	15	1	nu-candidate
63515	keep	10	1	STM
63537	all-fc	12	1	nu-candidate
63551	all-fc	6	1	nu-candidate
63559	keep	12	1	nu-candidate
63581	no-inbeam-bundle	11	0	-
63603	keep	11	1	nu-candidate
63669	keep	5	1	nu-candidate
63711	tgm	17	1	TGM
63947	keep	9	1	nu-candidate
64057	no-inbeam-bundle	18	0	-
64079	no-inbeam-bundle	10	0	-
64107	all-fc	16	1	nu-candidate
64409	keep	7	1	nu-candidate
64453	tgm	10	1	TGM
64475	keep	16	1	STM
64503	all-fc	12	1	nu-candidate
64591	keep	12	1	nu-candidate
64613	keep	11	1	nu-candidate
64701	tgm	8	1	TGM
64717	all-fc	14	1	nu-candidate
64921	all-fc	10	1	nu-candidate
64959	keep	12	1	nu-candidate
65018	keep	12	1	nu-candidate
65025	keep	15	1	nu-candidate
65053	keep	11	2	nu-candidate,nu-candidate
65267	keep	13	1	nu-candidate
65289	all-fc	11	1	nu-candidate
65295	keep	12	1	nu-candidate
65355	all-fc	15	1	nu-candidate
65612	no-inbeam-bundle	9	0	-
65647	keep	10	1	STM
65691	tgm	10	1	TGM
65788	no-inbeam-bundle	11	0	-
65942	lm	9	1	LM
65999	tgm	15	1	TGM
66043	no-inbeam-bundle	14	0	-
66087	no-inbeam-bundle	7	0	-
66118	all-fc	11	1	nu-candidate
66272	all-fc	13	1	nu-candidate
66329	keep	9	1	STM
66338	no-inbeam-bundle	12	0	-
66461	tgm	10	1	TGM
66571	no-inbeam-bundle	16	0	-
66615	tgm	15	1	TGM
66624	keep	9	1	STM
66646	keep	12	1	nu-candidate
66712	keep	14	1	nu-candidate
66822	keep	12	1	STM
66954	tgm	14	1	TGM
67108	no-inbeam-bundle	7	0	-
67152	keep	14	1	nu-candidate
67394	keep	13	1	nu-candidate
67746	keep	9	1	nu-candidate
67922	no-inbeam-bundle	9	0	-
67988	no-inbeam-bundle	11	0	-
68054	keep	10	1	STM
68362	no-inbeam-bundle	13	0	-
68428	tgm	10	1	TGM
68516	no-inbeam-bundle	11	0	-
68648	keep	11	1	nu-candidate
