# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
em-pr-era-20260829/other/work-pr132-r3flipchk-nuecc48.tar.gz	5526915	810765	OK	339 members
em-pr-era-20260829/other/work-pr132-r3off-mcp1k.tar.gz	5736097	571772	OK	465 members
em-pr-era-20260829/other/work-pr132-r3off-mcp2k.tar.gz	11044934	1266168	OK	745 members
em-pr-era-20260829/other/work-pr132-r3off-ncpi0.tar.gz	2010016	287327	OK	136 members
em-pr-era-20260829/other/work-pr132-r3off-nuecc48.tar.gz	5530770	813659	OK	339 members
em-pr-era-20260829/other/work-pr132-r3sub-mcp2k.tar.gz	1215920	241317	OK	66 members
em-pr-era-20260829/other/work-pr132-r4off-mcp1k.tar.gz	5778613	597441	OK	465 members
em-pr-era-20260829/other/work-pr132-r4off-mcp2k.tar.gz	11129854	1315056	OK	745 members
em-pr-era-20260829/other/work-pr132-r4off-ncpi0.tar.gz	2027656	302009	OK	136 members
em-pr-era-20260829/other/work-pr132-r4off-nuecc48.tar.gz	5557319	828682	OK	339 members
em-pr-era-20260829/other/work-pr132-r4p2-mcp1k.tar.gz	5784489	599551	OK	465 members
em-pr-era-20260829/other/work-pr132-r4p2-mcp2k.tar.gz	11136246	1319758	OK	745 members
em-pr-era-20260829/other/work-pr132-r4p2-ncpi0.tar.gz	2030147	301770	OK	136 members
em-pr-era-20260829/other/work-pr132-r4p2-nuecc48.tar.gz	5561463	830384	OK	339 members
em-pr-era-20260829/other/work-pr132-r4seat-mcp1k.tar.gz	5774750	594748	OK	465 members
em-pr-era-20260829/other/work-pr132-r4seat-mcp2k.tar.gz	11113068	1313572	OK	745 members
em-pr-era-20260829/other/work-pr132-r4seat-ncpi0.tar.gz	2025491	300620	OK	136 members
em-pr-era-20260829/other/work-pr132-r4seat-nuecc48.tar.gz	5553184	828251	OK	339 members
em-pr-era-20260829/other/work-pr132-r5cm-mcp1k.tar.gz	5773483	594183	OK	465 members
em-pr-era-20260829/other/work-pr132-r5cm-mcp2k.tar.gz	11112912	1308219	OK	745 members
em-pr-era-20260829/other/work-pr132-r5cm-ncpi0.tar.gz	2025157	299489	OK	136 members
em-pr-era-20260829/other/work-pr132-r5cm-nuecc48.tar.gz	5553775	825331	OK	339 members
em-pr-era-20260829/other/work-pr132-r5cmw-mcp1k.tar.gz	5774158	596089	OK	465 members
em-pr-era-20260829/other/work-pr132-r5cmw-mcp2k.tar.gz	11110817	1309904	OK	745 members
em-pr-era-20260829/other/work-pr132-r5cmw-ncpi0.tar.gz	2024451	300588	OK	136 members
em-pr-era-20260829/other/work-pr132-r5cmw-nuecc48.tar.gz	5551392	828208	OK	339 members
em-pr-era-20260829/other/work-pr132-r5harv-mcp1k.tar.gz	5746217	571912	OK	465 members
