event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
348515	8	3	3	0	0	0	14	14	55.6	55.6	7	7	nu-candidate	nu-candidate
348691	8	2	2	0	0	0	9	9	382.9	382.9	19	19	nu-candidate	nu-candidate
348713	11	0		0	0	0	7	7	116.6	116.6	8	8	nu-candidate	nu-candidate
348845	7	0		0	0	0	7	7	73.8	73.8	1	1	nu-candidate	nu-candidate
348889	5	0		0	0	0							no-bundle	no-bundle
349087	8	0		0	0	0	3	3	34.8	34.8	2	2	nu-candidate	nu-candidate
349241	7	2	2	0	0	0	15	15	51.4	51.4	18	18	nu-candidate	nu-candidate
349373	9	2	2	0	0	0							nu-candidate	nu-candidate
349461	5	3	3	0	0	0	17	17	183.2	183.2	8	8	nu-candidate	nu-candidate
349527	9	0		0	0	0							no-beam-flash	no-beam-flash
349549	10	2	2	0	0	0	12	12	100.2	100.2	15	15	nu-candidate	nu-candidate
349835	3	0		0	0	0	2	2	63.9	63.9	3	3	nu-candidate	nu-candidate
349879	7	1	1	0	0	0	17	17	282.8	282.8	1	1	nu-candidate	nu-candidate
349945	12	4	4	0	0	0	18	18	185.2	185.2	20	20	nu-candidate	nu-candidate
350099	5	0		0	0	0							cosmic-tagged	cosmic-tagged
350121	5	0		0	0	0	2	2	186.0	186.0	20	20	nu-candidate	nu-candidate
350297	5	0		0	0	0	18	18	252.8	252.8	4	4	nu-candidate	nu-candidate
350781	10	3	3	0	0	0							cosmic-tagged	cosmic-tagged
350935	10	2	2	0	0	0	11	11	191.3	191.3	5	5	nu-candidate	nu-candidate
351507	9	1	1	0	0	0							cosmic-tagged	cosmic-tagged
351551	9	0		0	0	0							cosmic-tagged	cosmic-tagged
351617	7	1	1	1	0	0							cosmic-tagged	cosmic-tagged
351639	10	2	2	0	0	0	9	9	19.1	19.1	3	3	cosmic-tagged	cosmic-tagged
351705	5	0		0	0	0	3	3	114.8	114.8	0	0	nu-candidate	nu-candidate
351749	7	2	2	0	0	0	14	14	8.6	8.6	22	22	nu-candidate	nu-candidate
351815	4	1	1	0	0	0							cosmic-tagged	cosmic-tagged
352123	8	0		0	0	0	10	10	65.1	65.1	0	0	nu-candidate	nu-candidate
352211	2	0		0	0	0							no-beam-flash	no-beam-flash
352233	9	0		0	0	0	6	6	128.7	128.7	11	11	nu-candidate	nu-candidate
352365	4	1	1	1	0	0							no-bundle	no-bundle
352915	6	0		0	0	0							cosmic-tagged	cosmic-tagged
352937	6	0		0	0	0							nu-candidate	nu-candidate
353179	6	0		0	0	0							no-bundle	no-bundle
353223	4	0		0	0	0	15	15	62.4	62.4	2	2	nu-candidate	nu-candidate
353487	4	0		0	0	0							cosmic-tagged	cosmic-tagged
353729	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
353751	7	0		0	0	0	10	10	159.8	159.8	2	2	nu-candidate	nu-candidate
386332	5	1	1	0	0	0	12	12	34.5	34.5	7	7	nu-candidate	nu-candidate
386354	5	3	3	0	0	0							cosmic-tagged	cosmic-tagged
386442	6	2	2	0	0	0	16	16	34.1	34.1	15	15	nu-candidate	nu-candidate
386794	3	1	1	0	0	0							cosmic-tagged	cosmic-tagged
386816	7	0		0	0	0							cosmic-tagged	cosmic-tagged
386838	5	3	3	0	0	0							cosmic-tagged	cosmic-tagged
386948	7	1	1	0	0	0	16	16	94.3	94.3	20	20	nu-candidate	nu-candidate
387102	4	0		0	0	0	4	4	2.7	2.7	0	0	cosmic-tagged	cosmic-tagged
387168	8	2	2	0	0	0							cosmic-tagged	cosmic-tagged
387674	2	0		0	0	0							no-bundle	no-bundle
387696	7	2	2	0	0	0							cosmic-tagged	cosmic-tagged
387850	5	1	1	0	0	0	15	15	121.2	121.2	2	2	nu-candidate	nu-candidate
388026	13	2	2	0	0	0	12	12	282.2	282.2	4	4	nu-candidate	nu-candidate
388224	6	0		0	0	0	3	3	199.1	199.1	4	4	nu-candidate	nu-candidate
388510	3	0		0	0	0							cosmic-tagged	cosmic-tagged
388642	5	0		0	0	0							no-beam-flash	no-beam-flash
388752	8	0		0	0	0							cosmic-tagged	cosmic-tagged
388884	7	0		0	0	0							cosmic-tagged	cosmic-tagged
388972	6	0		0	0	0							nu-candidate	nu-candidate
389214	12	0		0	0	0							no-bundle	no-bundle
389302	13	2	2	0	0	0							nu-candidate	nu-candidate
389544	7	2	2	0	0	0							cosmic-tagged	cosmic-tagged
389588	6	2	2	0	0	0	17	17	6.1	6.1	10	10	nu-candidate	nu-candidate
389830	8	0		0	0	0							no-bundle	no-bundle
389874	8	0		0	0	0	11	11	18.6	18.6	0	0	nu-candidate	nu-candidate
389962	4	0		0	0	0							cosmic-tagged	cosmic-tagged
390006	7	3	3	0	0	0							cosmic-tagged	cosmic-tagged
390028	5	0		0	0	0							cosmic-tagged	cosmic-tagged
390182	10	0		0	0	0	4	4	144.7	144.7	7	7	nu-candidate	nu-candidate
390270	5	0		0	0	0							no-bundle	no-bundle
390534	5	0		0	0	0							no-bundle	no-bundle
390600	3	0		0	0	0							no-bundle	no-bundle
390644	8	0		0	0	0							no-beam-flash	no-beam-flash
390842	5	0		0	0	0	3	3	417.7	417.7	1	1	nu-candidate	nu-candidate
390864	6	1	1	0	0	0	16	16	174.5	174.5	7	7	nu-candidate	nu-candidate
390996	8	3	3	0	0	0	9	9	2.9	2.9	9	9	nu-candidate	nu-candidate
391172	8	2	2	0	0	0							nu-candidate	nu-candidate
391238	17	2	2	0	0	0	8	8	2.1	2.1	6	6	nu-candidate	nu-candidate
391260	10	3	3	0	0	0	13	13	114.4	114.4	5	5	nu-candidate	nu-candidate
391722	6	0		0	0	0							nu-candidate	nu-candidate
391766	8	2	2	0	0	0	17	17	275.6	275.6	2	2	nu-candidate	nu-candidate
391826	14	0		0	0	0							no-beam-flash	no-beam-flash
391854	5	1	1	0	0	0	1	1	28.4	28.4	0	0	nu-candidate	nu-candidate
392112	5	0		0	0	0							cosmic-tagged	cosmic-tagged
392178	3	0		0	0	0							no-beam-flash	no-beam-flash
392184	10	2	2	0	0	0							cosmic-tagged	cosmic-tagged
392200	6	0		0	0	0							cosmic-tagged	cosmic-tagged
392272	5	0		0	0	0							no-bundle	no-bundle
392316	6	2	2	0	0	0							nu-candidate	nu-candidate
392338	9	1	1	0	0	0							cosmic-tagged	cosmic-tagged
392354	5	1	1	0	0	0							nu-candidate	nu-candidate
392376	5	0		0	0	0							cosmic-tagged	cosmic-tagged
392552	4	0		0	0	0	12	12	237.3	237.3	8	8	nu-candidate	nu-candidate
392558	12	0		0	0	0							cosmic-tagged	cosmic-tagged
392684	3	0		0	0	0							no-beam-flash	no-beam-flash
392800	8	0		0	0	0							no-beam-flash	no-beam-flash
393042	10	3	3	0	0	0	15	15	396.9	396.9	6	6	nu-candidate	nu-candidate
393086	6	0		0	0	0							no-bundle	no-bundle
393124	7	0		0	0	0							no-beam-flash	no-beam-flash
393212	11	0		0	0	0	6	6	64.7	64.7	25	25	nu-candidate	nu-candidate
393256	4	0		0	0	0							no-bundle	no-bundle
393322	13	2	2	0	0	0							cosmic-tagged	cosmic-tagged
393410	1	0		0	0	0							cosmic-tagged	cosmic-tagged
393542	9	1	1	0	0	0							cosmic-tagged	cosmic-tagged
393608	8	0		0	0	0	9	9	48.1	48.1	1	1	nu-candidate	nu-candidate
394268	6	0		0	0	0							no-beam-flash	no-beam-flash
394488	8	0		0	0	0							cosmic-tagged	cosmic-tagged
394532	4	0		0	0	0	8	8	26.0	26.0	10	10	nu-candidate	nu-candidate
394642	6	1	1	0	0	0	13	13	306.8	306.8	2	2	nu-candidate	nu-candidate
394796	9	2	2	1	0	1	15	15	159.5	159.5	9	8	nu-candidate	nu-candidate
394906	5	0		0	0	0							cosmic-tagged	cosmic-tagged
395060	6	2	2	0	0	0	19	19	125.4	125.4	9	9	nu-candidate	nu-candidate
395148	14	1	1	0	0	0							cosmic-tagged	cosmic-tagged
395258	13	0		0	0	0							no-beam-flash	no-beam-flash
395390	13	2	2	0	0	0	13	13	3.1	3.1	4	4	nu-candidate	nu-candidate
395610	6	1	1	0	0	0	22	22	199.3	199.3	3	3	nu-candidate	nu-candidate
395654	4	0		0	0	0	15	15	197.4	197.4	1	1	nu-candidate	nu-candidate
395720	5	0		0	0	0							cosmic-tagged	cosmic-tagged
395764	6	2	2	0	0	0							cosmic-tagged	cosmic-tagged
395852	6	0		0	0	0							no-beam-flash	no-beam-flash
395962	7	2	2	0	0	0	15	15	40.8	40.8	16	16	nu-candidate	nu-candidate
