kind	event	id	cluster	pdg	score	dirsign	length_cm	energy_mev	gap_displayed_cm	gap_main_cluster_cm	conn4_producers
B_cross	176533	14037	14	11	-1.000	0	0.4	1.6	-1.00	343.52	-
B_cross	176533	16039	16	11	-1.000	0	0.4	1.8	-1.00	384.95	-
B_cross	318703	64064	64	11	-1.000	0	0.4	1.2	-1.00	100.59	-
B_cross	395870	54019	54	11	-1.000	0	0.4	2.3	-1.00	41.30	-
B_cross	176533	18041	18	11	-1.000	0	0.4	1.0	-1.00	338.95	-
B_cross	74544	16058	16	11	-1.000	0	0.4	1.4	-1.00	436.27	-
B_cross	138009	18021	18	11	-1.000	0	0.4	1.6	-1.00	262.19	-
B_cross	281485	24040	24	11	-1.000	0	0.4	1.1	-1.00	406.50	-
B_cross	350354	23021	23	2212	-1.000	0	0.4	2.2	-1.00	264.09	-
B_cross	179611	73016	73	11	-1.000	0	0.4	2.9	-1.00	178.46	-
B_cross	412242	24012	24	11	-1.000	0	0.4	0.5	-1.00	418.41	-
B_cross	318769	119068	119	13	-1.000	0	0.4	1.7	-1.00	51.96	pr123_pass4_prune
B_cross	171729	35023	35	11	-1.000	0	0.4	0.5	-1.00	301.46	-
B_cross	399052	56051	56	11	-1.000	0	0.4	2.0	-1.00	83.69	-
B_cross	71872	20013	20	11	-1.000	0	0.4	0.6	-1.00	346.59	-
B_cross	395870	41006	41	11	-1.000	0	0.4	1.3	-1.00	39.38	-
B_cross	282979	56046	56	11	-1.000	0	0.4	1.5	-1.00	139.94	pr123_pass4_prune
B_cross	486907	64012	64	11	-1.000	0	0.4	1.3	-1.00	194.89	pr124_pass4_prune2
B_cross	94224	56021	56	11	-1.000	0	0.4	1.1	-1.00	78.27	-
B_cross	170761	15028	15	11	-1.000	0	0.4	1.7	-1.00	176.60	-
B_cross	499423	20005	20	11	-1.000	0	0.4	2.2	-1.00	272.92	-
B_cross	10550	16037	16	11	-1.000	0	0.4	1.6	-1.00	204.73	-
B_cross	77328	19010	19	11	-1.000	0	0.4	0.7	-1.00	275.17	-
B_cross	349549	67081	67	2212	-1.000	0	0.4	3.0	-1.00	102.33	pr123_pass4_prune
B_cross	395870	65046	65	11	-1.000	0	0.4	1.2	-1.00	194.95	-
B_cross	37112	14014	14	11	-1.000	0	0.4	1.6	-1.00	345.12	-
B_cross	172266	52026	52	11	-1.000	0	0.4	2.1	-1.00	372.68	-
B_cross	122660	15024	15	11	-1.000	0	0.4	1.6	-1.00	288.76	-
B_cross	58755	64007	64	11	-1.000	0	0.4	1.8	-1.00	195.45	-
B_cross	170761	16029	16	11	-1.000	0	0.4	0.9	-1.00	210.64	-
B_cross	176533	74081	74	11	-1.000	0	0.4	1.8	-1.00	389.99	-
B_cross	81597	30047	30	2212	-1.000	0	0.4	1.4	-1.00	409.03	-
B_cross	321367	11008	11	2212	-1.000	0	0.4	7.4	-1.00	226.53	-
B_cross	292005	25009	25	11	-1.000	0	0.4	2.2	-1.00	114.21	-
B_cross	54341	30009	30	11	-1.000	0	0.4	2.3	-1.00	176.94	-
B_cross	521075	27024	27	11	-1.000	0	0.4	1.9	-1.00	209.36	-
B_cross	423981	61068	61	13	-1.000	0	0.4	1.7	-1.00	32.43	pr123_pass4_prune,pr124_pass4_prune2
B_cross	281567	15038	15	11	-1.000	0	0.4	2.1	-1.00	217.12	pr123_pass4_prune
B_cross	406125	16011	16	11	-1.000	0	0.4	0.8	-1.00	151.06	-
B_cross	171572	21010	21	11	-1.000	0	0.4	1.3	-1.00	117.48	-
B_cross	433451	54128	54	11	-1.000	0	0.4	2.5	-1.00	77.37	-
B_cross	99782	26010	26	11	-1.000	0	0.4	1.2	-1.00	318.35	-
B_cross	111412	25028	25	11	-1.000	0	0.4	1.6	-1.00	320.82	-
B_cross	412242	25013	25	11	-1.000	0	0.4	1.1	-1.00	457.48	-
B_cross	401450	58067	58	11	-1.000	0	0.4	3.0	-1.00	158.63	-
B_cross	408678	23009	23	11	-1.000	0	0.4	2.1	-1.00	254.66	-
B_cross	105074	29007	29	11	-1.000	0	0.4	1.2	-1.00	234.33	pr74_conn3_unreachable
B_cross	76346	50052	50	11	-1.000	0	0.4	2.5	-1.00	229.14	pr124_pass4_prune2
B_cross	72786	18030	18	11	-1.000	0	0.4	1.5	-1.00	298.02	-
B_cross	486907	62010	62	11	-1.000	0	0.4	2.2	-1.00	192.61	pr124_pass4_prune2
B_cross	122660	14023	14	11	-1.000	0	0.4	1.9	-1.00	306.44	-
B_cross	475096	29029	29	11	-1.000	0	0.4	0.8	-1.00	330.03	-
B_cross	403023	22005	22	11	-1.000	0	0.4	0.8	-1.00	232.15	-
B_cross	486247	16004	16	11	-1.000	0	0.4	2.0	-1.00	219.02	-
B_cross	179611	18005	18	2212	-1.000	0	0.4	3.3	-1.00	116.01	-
B_cross	285443	18002	18	11	-1.000	0	0.4	1.1	-1.00	204.29	-
B_cross	318703	51050	51	11	-1.000	0	0.4	2.0	-1.00	73.62	-
B_cross	165157	15004	15	11	-1.000	0	0.4	1.6	-1.00	317.00	pr123_pass4_prune
B_cross	396816	60033	60	11	-1.000	0	0.4	0.5	-1.00	324.58	-
