population	arm	tag	evt	call	j	k	nedge	nlab	verdict	flip	pair	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	blks	killed	gaps	excuses
nueCC48	work-pr57r4-scan48	root	122660	0	13	16	2	1	good	0	SEP	10.49	15.49	1.73	170	7.6	1	0	1.70	2937	50.7	closest|dir2	1|1	001|001	00|00
nueCC48	work-pr57r4-scan48	root	122660	0	14	15	1	1	OK	0	dir	11.97	29.07	3.92	184	32.2	0	0	0.92	2433	42.9	closest	0	100	00
nueCC48	work-pr57r4-scan48	root	122660	0	14	16	1	1	good	0	SEP	15.49	29.07	3.92	691	35.6	1	0	4.94	2781	53.9	dir1	1	001	10
nueCC48	work-pr57r4-scan48	root	122660	0	14	17	1	1	good	0	SEP	29.07	40.94	4.86	2097	48.7	1	0	1.28	3383	34.4	closest	1	001	10
nueCC48	work-pr57r4-scan48	root	131357	0	0	4	1	1	good	0	SEP	5.82	9.84	0.94	95	63.5	1	0	2.67	669	54.8	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	131357	0	1	2	1	1	good	0	SEP	0.94	2.95	0.57	8	43.7	1	0	3.36	293	65.0	closest	1	111	00
nueCC48	work-pr57r4-scan48	root	131357	0	4	5	1	1	OK	0	SEP	1.04	5.82	0.86	7	45.1	0	0	1.35	430	57.9	closest	1	110	00
nueCC48	work-pr57r4-scan48	root	131357	0	6	7	1	1	OK	0	SEP	2.07	2.48	0.57	20	13.2	0	0	1.40	1057	32.7	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	131357	0	8	9	1	1	OK	0	dir	2.89	50.09	3.82	36	79.5	0	0	0.82	1030	32.8	closest	0	010	00
nueCC48	work-pr57r4-scan48	root	137238	0	0	1	2	2	bad	0	SEP	45.43	98.74	4.78	1431	48.3	1	0	0.69	686	10.8	closest|dir2	1|1	001|001	00|00
nueCC48	work-pr57r4-scan48	root	137238	0	0	2	1	1	OK	0	SEP	6.49	45.43	4.78	47	53.1	0	0	3.47	760	26.1	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	137238	0	4	5	1	1	OK	0	dir	1.44	27.73	2.59	10	47.9	0	0	0.92	400	93.3	closest	0	010	00
