evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
55715	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
55957	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.37201534392545615	None	-
56211	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
56243	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
56463	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
57441	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
57485	work-pr104-bare-mcp1k	2	nan	nan	3	0	1	None	0	2.0754465319079243	None	-
57575	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
57661	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
57883	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
57903	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
58321	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
58345	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
58607	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	3.9120070021819653	None	-
58653	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
58717	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
58755	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
59003	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
59025	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
59085	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.6805619025334884	None	-
59093	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
