sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	386354	0	8.239	2.537	15	1529312	0	cosmic-tagged	4	1	1	1	1	0.924	2.2	7	118.6573	55.695347	0.32118556	-1.4348364	-15.0	1.0	1.0	0.7	0.0	67.8983
mcp1k	18255	1	386442	0	7.601	2.903	14	1530124	0	nu-candidate	10	1	1	1	0	1.324	34.1	15	18.132963	-34.409077	92.95412	-0.48176602	-4.300936	1.0	0.0	0.7	0.0	464.9225
mcp1k	18255	1	386794	0	7.580	2.856	14	1529996	0	cosmic-tagged	11	1	1	1	1	1.802	1.8	3	-48.49179	-106.498604	58.4192	-2.2076097	-15.0	1.0	1.0	0.7	0.0	134.71278
mcp1k	18255	1	386816	0	6.636	1.374	13	1193480	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18255	1	386838	0	6.305	1.005	12	1192740	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18255	1	386948	0	9.169	6.566	15	1529596	0	nu-candidate	10	1	1	1	0	0.858	94.3	20	-16.568865	143.11536	354.7851	0.6312999	-4.300936	1.0	0.0	0.7	0.0	1103.9865
mcp1k	18255	1	387102	0	6.156	1.422	12	1196856	0	cosmic-tagged	12	1	1	1	1	1.672	2.7	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18255	1	387168	0	5.793	1.017	12	1193432	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18255	1	387674	0	5.930	1.930	12	1191828	0	no-bundle	14	0	1	0	0													
mcp1k	18255	1	387696	0	6.459	2.650	13	1529592	0	cosmic-tagged	8	1	1	1	1	1.278	5.6	3	42.042297	-64.45356	415.8813	-2.1076648	-15.0	1.0	1.0	0.7	0.0	152.29163
mcp1k	18255	1	387850	0	5.581	3.749	12	1529592	0	nu-candidate	13	1	1	1	0	1.265	121.2	2	196.10107	199.89677	82.273865	-1.3720073	-4.300936	1.0	1.0	0.7	0.0	497.10046
mcp1k	18255	1	388026	0	4.380	3.620	10	1529992	0	nu-candidate	9	1	1	1	0	0.545	282.2	4	-130.90114	101.30651	120.16123	4.301008	-15.0	1.0	0.0	0.7	0.0	968.8658
mcp1k	18255	1	388224	0	5.541	5.974	12	1528012	0	nu-candidate	14	1	2	1	0	1.429	199.1	4	-67.53378	0.6109692	344.45157	3.7512753	-4.300936	1.0	0.0	0.7	0.0	1071.3888
mcp1k	18255	1	388510	0	2.118	1.624	8	1192992	0	cosmic-tagged	17	1	1	0	1													
mcp1k	18255	1	388642	0	1.334	1.211	8	1194480	0	no-beam-flash	10	0	0	0	0													
mcp1k	18255	1	388752	0	0.892	0.752	7	1189296	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18255	1	388884	0	1.110	0.991	8	1192632	0	cosmic-tagged	11	1	1	1	1	0.670	1.6	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18255	1	388972	0	6.366	1.154	13	1191856	0	nu-candidate	11	1	1	0	1													
mcp1k	18255	1	389214	0	6.672	1.513	13	1190988	0	no-bundle	13	0	1	0	0													
mcp1k	18255	1	389302	0	6.267	0.879	13	1194220	0	nu-candidate	9	1	1	0	1													
mcp1k	18255	1	389544	0	6.401	1.207	13	1190864	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	389588	0	6.304	2.901	13	1529388	0	nu-candidate	13	1	1	1	0	0.526	6.1	10	-125.27208	143.19539	94.21404	-1.1885929	-15.0	1.0	0.0	0.7	0.0	101.73577
mcp1k	18255	1	389830	0	6.226	0.825	13	1191348	0	no-bundle	7	0	1	0	0													
mcp1k	18255	1	389874	0	7.344	2.853	14	1530176	0	nu-candidate	14	1	1	1	0	1.212	18.6	0	28.157787	-32.523453	55.978752	-1.7857704	-15.0	1.0	0.0	0.7	0.0	57.71806
mcp1k	18255	1	389962	0	7.416	1.254	14	1186020	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	390006	0	7.862	2.081	14	1187348	0	cosmic-tagged	7	1	1	0	1													
mcp1k	18255	1	390028	0	8.419	2.865	15	1528204	0	cosmic-tagged	13	1	1	1	1	1.986	2.1	3	-184.69852	-125.84313	105.21965	-1.976697	-15.0	1.0	0.0	0.7	0.0	106.76564
mcp1k	18255	1	390182	0	8.026	4.355	14	1529696	0	nu-candidate	13	1	1	1	0	0.560	144.7	7	-186.10165	-50.032463	487.7338	1.989536	-15.0	1.0	0.0	0.7	0.0	990.85724
mcp1k	18255	1	390270	0	6.922	1.181	13	1192824	0	no-bundle	17	0	1	0	0													
mcp1k	18255	1	390534	0	7.400	1.317	14	1192576	0	no-bundle	8	0	1	0	0													
mcp1k	18255	1	390600	0	6.667	0.843	13	1191964	0	no-bundle	11	0	1	0	0													
mcp1k	18255	1	390644	0	6.557	0.906	13	1191504	0	no-beam-flash	8	0	0	0	0													
mcp1k	18255	1	390842	0	8.046	4.873	14	1528112	0	nu-candidate	12	1	1	1	0	0.566	417.7	1	-76.65483	-112.464966	9.249203	4.301008	-4.300936	1.0	0.0	0.7	0.0	1040.5526
mcp1k	18255	1	390864	0	7.064	3.300	13	1530832	0	nu-candidate	11	1	1	1	0	0.778	174.5	7	-201.36894	-57.03369	289.49313	-0.31440437	-15.0	1.0	1.0	0.7	0.0	537.7899
mcp1k	18255	1	390996	0	4.683	2.523	11	1529300	0	nu-candidate	9	1	1	1	0	0.741	2.9	9	171.3608	57.0074	95.747444	-2.4598904	-15.0	1.0	1.0	0.7	0.0	127.551476
mcp1k	18255	1	391172	0	3.119	0.537	10	1192764	0	nu-candidate	5	1	1	0	1													
mcp1k	18255	1	391238	0	4.617	2.606	10	1530148	0	nu-candidate	7	1	1	1	0	1.405	2.1	6	-197.73685	-91.136696	179.32516	-1.2471589	-15.0	1.0	1.0	0.7	0.0	228.87595
mcp1k	18255	1	391260	0	6.495	3.267	13	1526016	0	nu-candidate	10	1	1	1	0	0.662	114.4	5	-48.233223	189.06386	130.16533	2.6783319	-15.0	1.0	0.0	0.7	0.0	547.2148
mcp1k	18255	1	391722	0	6.411	1.256	13	1190776	0	nu-candidate	13	1	1	0	1													
mcp1k	18255	1	391766	0	4.079	3.571	11	1529432	0	nu-candidate	12	1	1	1	0	0.977	275.6	2	122.95232	-25.440866	0.06442908	-3.7885952	-15.0	1.0	1.0	0.7	0.0	858.0836
mcp1k	18255	1	391826	0	2.864	0.709	9	1191892	0	no-beam-flash	5	0	0	0	0													
mcp1k	18255	1	391854	0	5.535	1.651	13	1195904	0	nu-candidate	14	2	2	1	1	1.081	28.4	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18255	1	392112	0	4.343	1.749	11	1192832	0	cosmic-tagged	16	1	1	0	1													
mcp1k	18255	1	392178	0	5.649	2.038	12	1192844	0	no-beam-flash	7	0	0	0	0													
mcp1k	18255	1	392184	0	7.722	2.809	14	1530064	0	cosmic-tagged	14	1	1	1	1	0.997	1.2	4	82.63627	-162.0968	225.68	-2.213145	-15.0	1.0	1.0	0.7	0.0	116.13409
mcp1k	18255	1	392200	0	7.743	3.395	14	1526776	0	nu-candidate	16	1	1	1	0	0.683	102.5	5	-89.70271	-198.92732	426.53558	-1.3613619	-15.0	1.0	1.0	0.7	0.0	531.63794
mcp1k	18255	1	392272	0	8.607	2.841	15	1192320	0	no-bundle	12	0	1	0	0													
mcp1k	18255	1	392316	0	7.270	0.838	13	1190616	0	nu-candidate	10	1	1	0	1													
mcp1k	18255	1	392338	0	7.349	1.317	14	1193336	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18255	1	392354	0	7.627	1.540	14	1192192	0	nu-candidate	12	1	1	0	1													
mcp1k	18255	1	392376	0	6.959	0.897	13	1193348	0	cosmic-tagged	11	1	1	1	1	1.694	5.2	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18255	1	392552	0	8.039	3.033	14	1527948	0	nu-candidate	13	1	1	1	0	1.572	237.3	8	-130.25197	-185.92674	294.2343	2.1976936	-15.0	1.0	1.0	0.7	0.0	683.90717
mcp1k	18255	1	392558	0	7.044	0.985	13	1192744	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18255	1	392684	0	7.018	1.050	13	1192132	0	no-beam-flash	7	0	0	0	0													
mcp1k	18255	1	392800	0	7.688	1.451	14	1193428	0	no-beam-flash	13	0	0	0	0													
mcp1k	18255	1	393042	0	8.391	4.781	14	1529384	0	nu-candidate	14	1	1	1	0	1.699	396.9	6	-4.132323	-151.27307	19.15049	4.149329	-15.0	1.0	0.0	0.7	0.0	1140.0693
mcp1k	18255	1	393086	0	7.048	1.022	13	1192504	0	no-bundle	13	0	1	0	0													
mcp1k	18255	1	393124	0	2.652	1.263	9	1191660	0	no-beam-flash	15	0	0	0	0													
