evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
267597	nuecc48	human	0	5007	0.29	1	1	0	5007	5007	5007	5007	5007	5007	5007	5007	1
268067	nuecc48	human	0	15007	2.28	1	1	0	15004	15004	15004	15004	15004	15004	15004	15004	0
268784	nuecc48	human	0	13002	0.40	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
269774	nuecc48	human	0	87155	0.11	1	1	0	13000	87155	87155	87155	87155	87155	87155	13000	1
271851	nuecc48	human	0	23001	2.75	1	1	0	23013	23001	23001	23001	23001	23001	23001	23013	1
275231	mcp2k	ai-scanner	0	6002	2.71	1	1	0	6002	6002	6002	6002	6002	6002	6002	6002	1
275539	mcp2k	human	0	12001	14.62	0	1	0	12002	71018	12002	12002	12002	12002	71018	12002	0
276836	mcp1k	human	0	11002	0.16	0	0	0	11002	11002	11002	11002	11002	11002	11002	11002	1
277123	mcp2k	ai-scanner	0	8001	0.00	0	1	0	8001	15007	8001	8001	8001	8001	15007	8001	1
277276	mcp1k	human	0	8004	1.70	1	1	0	8004	8004	8004	8004	8004	8004	8004	8004	1
277298	mcp1k	human	0	17004	1.16	1	1	0	17004	17008	17008	17008	17008	17008	17008	17004	0
278046	mcp1k	human	0	3001	0.92	0	1	0	3010	3012	3012	3012	3012	3012	3012	3010	0
278266	mcp1k	human	0	22002	0.00	0	1	0	22002	25004	22002	22002	22002	22002	22002	22002	1
278420	mcp1k	human	0	18002	4.35	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
278509	mcp2k	human	0	9001	0.00	0	1	0	9001	41019	9001	9001	9001	9001	41019	9001	1
278640	mcp1k	human	0	17001	0.00	1	1	0	17001	17001	17001	17001	17001	17001	17001	17001	1
278684	mcp1k	human	0	10000	0.00	0	0	0	10001	19010	10001	10001	10001	10001	19010	10001	0
278785	mcp1k	human	0	5001	1.46	1	1	0	5001	5001	5001	5001	5001	5001	5001	5001	1
278794	mcp1k	human	0	7001	0.00	0	0	0	7001	37024	7001	7001	7001	7001	37024	7001	1
279190	mcp1k	human	0	17001	0.00	0	1	0	17001	28004	17001	17001	17001	17001	28004	17001	1
279213	mcp2k	human	0	9001	0.00	0	0	0	9001	31019	9001	9001	9001	9001	31019	9001	1
279256	mcp1k	human	0	15001	0.00	1	1	0	15001	15003	15001	15001	15001	15001	15003	15001	1
279445	mcp1k	human	0	84007	0.53	1	1	0	19002	84007	84007	84007	84007	84007	84007	19002	1
279643	mcp1k	human	0	20002	0.45	0	0	0	20002	55010	20002	20002	20002	20002	55010	20002	1
279955	mcp2k	human	0	16002	1.05	0	0	0	16002	46008	16002	16002	16002	16002	46008	16002	1
