event	node	fired	veto	b_cxx_cm	b_offline_cm
163543	14126	0	0	1.660	1.662
163543	14127	0	0	7.170	7.173
163543	14129	0	0	2.010	2.015
163543	14131	0	0	1.100	1.102
168596	14153	0	0	0.630	0.635
172230	5027	0	0	1.920	1.920
174637	9019	0	0	0.850	0.853
196649	11113	0	0	2.220	2.224
214469	16078	0	0	1.230	1.231
219295	15128	0	0	1.060	1.063
234638	10041	0	0	1.100	1.100
239794	2069	0	0	1.840	1.842
246579	19047	0	0	5.120	5.122
256587	11301	0	0	0.870	0.871
267597	5121	0	0	1.080	1.077
268067	15080	0	0	1.770	1.768
268784	13027	0	0	0.510	0.510
268784	75109	0	0	4.400	4.399
268784	78124	0	0	8.590	8.585
269774	13237	1	0	1.670	1.672
269774	87134	0	0	1.330	1.332
271851	23010	0	0	5.210	5.207
30504	11065	0	0	5.170	5.166
30504	11068	0	0	2.080	2.078
342199	20032	0	0	1.630	1.635
342199	25109	0	0	77.120	77.117
342199	74101	0	0	29.580	29.585
350186	6044	0	0	0.390	0.387
360535	7060	0	0	0.630	0.631
388	23028	0	0	2.540	2.543
388	23032	0	0	16.620	16.624
38856	12035	0	0	2.640	2.645
38856	12089	0	0	4.250	4.253
38856	12090	0	0	2.810	2.812
389538	19021	0	0	152.520	152.516
389538	54056	0	0	208.070	208.074
400474	18126	0	0	0.660	0.656
400474	82076	0	0	34.290	34.291
42280	8021	0	0	1.320	1.318
422851	1023	0	0	1.240	1.240
423981	12095	0	0	1.850	1.852
433451	4040	0	0	2.690	2.687
437699	11030	0	0	0.680	0.678
444187	19079	0	0	0.870	0.872
444187	19082	0	0	1.980	1.977
447477	11019	0	0	2.190	2.193
46363	19079	0	0	5.030	5.033
469665	15003	0	0	3.660	3.662
489330	4018	0	0	1.130	1.127
52672	9011	0	0	7.330	7.327
52672	82082	0	0	4.090	4.089
54095	17137	0	0	2.350	2.354
69314	3014	0	0	25.160	25.157
74544	12085	0	0	4.500	4.503
81597	19009	0	0	2.120	2.121
90055	11033	0	0	2.760	2.759
