event	arm	seg	pdg	len_cm	med_dqdx_mip	cur	cur_nseg	cur_len_cm	owner	divert	pair_dis_cm	front_dis_cm	body_dis_cm	snap_dis_cm	angle_v1	angle_v2	tier	trk	seg_mark	marked_shower	verdict	label_tag
52672	work-pr123r1-dbgA2-nuecc48	42037	11	3.7	0.915	9011	19	105.4	9011	0	110.85	67.82	13.74	21.86	5.91	8.47	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	43038	11	3.24	0.496	9011	20	109.1	9011	0	91.37	48.26	3.59	3.59	4.38	6.88	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	45040	2212	0.45	1.853	9011	21	112.4	9011	0	126.05	83.0	13.42	37.86	4.97	7.02	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	46041	13	0.66	1.329	9011	22	112.8	9011	0	120.69	78.34	12.78	35.9	9.34	13.89	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	47042	13	0.54	1.352	9011	23	113.5	9011	0	116.71	74.4	3.93	32.17	9.58	14.44	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	48043	11	0.71	0.842	9011	24	114.0	9011	0	135.99	94.69	22.2	51.99	15.11	20.89	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	49044	13	0.36	0.731	9011	25	114.7	9011	0	99.6	56.76	13.6	14.33	4.55	8.32	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	50045	2212	0.18	1.88	9011	26	115.1	9011	0	112.52	70.17	7.18	26.83	9.78	14.78	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	52047	13	0.8	1.239	9011	27	115.3	9011	0	88.98	45.9	3.1	3.1	2.06	4.6	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	53048	11	0.73	0.728	9011	28	116.1	9011	0	137.8	95.83	28.15	54.69	9.7	14.02	3	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	55050	11	0.64	1.221	9011	29	116.8	9011	0	119.0	76.02	10.89	32.94	4.13	6.59	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	56051	11	3.25	0.745	9011	30	117.4	9011	0	97.3	54.58	7.32	13.02	6.65	11.26	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	57052	13	0.42	1.234	9011	31	120.7	9011	0	141.65	101.44	10.54	60.86	18.78	25.56	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	61056	11	4.29	0.9	9011	32	121.1	9011	0	117.33	74.28	7.01	29.42	4.79	7.0	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	63058	11	1.73	0.492	9011	33	125.4	9011	0	125.48	82.67	5.21	37.4	7.4	10.47	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	64060	11	2.44	2.019	9011	34	127.1	9011	0	123.41	81.06	6.48	36.32	10.45	14.94	1	0				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	64061	11	5.95	1.154	9011	35	129.6	9011	0	125.42	83.12	0.0	38.44	10.73	15.25	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	77064	13	0.32	0.654	9011	36	135.5	9011	0	72.7	29.76	5.63	5.63	5.83	10.7	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	78065	13	0.44	1.016	9011	37	135.8	9011	0	92.62	49.63	3.1	6.73	5.25	8.67	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	79066	13	0.77	0.731	9011	38	136.3	9011	0	70.5	27.8	4.85	4.85	5.53	12.83	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	80068	11	2.49	1.406	9011	39	137.1	9011	0	107.41	64.37	3.69	19.14	5.34	7.96	1	0				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	80070	11	2.94	1.25	9011	40	139.5	9011	0	109.08	66.07	0.32	20.76	5.6	8.3	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	80071	11	7.31	1.083	9011	41	142.5	9011	0	109.46	66.39	0.0	21.06	5.07	7.44	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	80073	11	3.22	0.981	9011	42	149.8	9011	0	114.86	71.66	0.0	26.46	3.09	4.04	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	83083	2212	0.6	1.656	9011	43	153.0	9011	0	98.01	54.87	5.54	10.62	3.89	5.92	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	86086	2212	0.34	1.6	9011	44	153.6	9011	0	127.06	84.17	5.92	38.14	7.33	10.09	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	87087	13	0.48	0.789	9011	45	154.0	9011	0	125.38	82.66	2.69	37.97	7.85	11.25	1	1				emscan-0827
54095	work-pr123r1-dbgA2-nuecc48	43079	13	0.48	1.399	85115	1	8.8	85115	0	114.47	87.43	80.03	80.03	7.21	14.16	3	1				emscan-0827
54095	work-pr123r1-dbgA2-nuecc48	52088	13	0.21	0.94	85115	2	9.3	85115	0	41.13	10.96	3.6	3.6	15.83	10.9	1	1				emscan-0827
54095	work-pr123r1-dbgA2-nuecc48	66102	11	0.99	0.796	85115	3	9.5	85115	0	97.11	70.2	34.66	62.84	9.3	17.23	3	1				emscan-0827
54095	work-pr123r1-dbgA2-nuecc48	68104	11	4.03	1.276	85115	4	10.5	85115	0	91.76	64.37	4.3	57.05	9.95	16.96	1	1				emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	125101	13	1.0	1.307	84046	1	2.9	84046	0	74.38	58.92	56.42	56.42	21.0	24.99	1	1				emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	87049	2212	0.35	2.209	89051	1	4.5	89051	0	61.7	47.15	43.19	43.19	9.9	27.47	1	1				emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	98066	13	9.8	1.171	97060	4	15.4	97060	0	40.74	13.17	5.84	5.84	22.93	3.17	1	1	TARGET	16014		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	98067	11	3.57	0.998	97060	5	25.2	97060	0	49.59	21.38	0.0	13.69	24.69	14.65	1	1	TARGET	16014		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	98068	11	6.24	0.565	97060	6	28.8	97060	0	40.74	13.17	0.0	5.84	22.93	3.17	1	1	TARGET	16014		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	99069	2212	0.59	1.833	97060	7	35.0	97060	0	40.61	12.01	2.82	4.78	27.7	15.26	2	1	TARGET	16014		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	129113	13	0.69	1.292	97060	8	35.6	97060	0	58.13	29.85	6.3	22.18	25.04	18.54	2	1	TARGET	16014		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	123098	13	12.18	1.103	122091	5	35.2	122091	0	117.57	80.41	56.01	56.01	6.67	4.39	3	1	TARGET	122091		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	123099	11	1.94	0.999	122091	6	47.4	122091	0	117.57	80.41	0.6	56.01	6.67	4.39	1	1	TARGET	122091		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	126102	13	2.12	0.504	128111	4	25.4	128111	0	70.06	14.59	2.81	2.81	16.41	11.07	1	1				emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	93055	2212	3.9	3.827	120071	4	16.2	120071	0	122.56	63.28	52.87	52.87	25.12	11.96	4	1				emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	78040	13	0.31	0.7	77039	1	1.4	77039	0	105.3	6.18	4.96	4.96	2.3	27.11	1	1	TARGET	122091		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	79041	13	0.3	0.792	77039	2	1.7	77039	0	109.61	10.77	5.16	9.49	2.05	24.12	1	1	TARGET	122091		emscan-0827
54332	work-pr123r1-dbgA2-mcp2k	92054	13	0.33	0.513	77039	3	2.0	77039	0	138.88	41.53	30.6	40.2	4.65	21.25	3	1	TARGET	122091		emscan-0827
54341	work-pr123r1-dbg141v2-mcp1k	80022	11	2.85	0.796	101041	3	31.5	101041	0	49.58	32.89	10.27	10.27	7.0	9.42	1	1	TARGET	101041	under-clustered	emscan-0828-agent5
54341	work-pr123r1-dbg141v2-mcp1k	83025	11	0.9	2.036	101041	4	34.4	101041	0	63.66	47.0	11.9	23.28	7.35	9.4	1	0	TARGET	101041	under-clustered	emscan-0828-agent5
54341	work-pr123r1-dbg141v2-mcp1k	97034	13	2.31	0.419	101041	5	35.3	101041	0	43.1	26.89	3.2	3.15	14.14	21.49	1	1	TARGET	101041	under-clustered	emscan-0828-agent5
54341	work-pr123r1-dbg141v2-mcp1k	98035	13	3.26	0.944	101041	6	37.6	101041	0	40.9	24.13	5.81	5.81	2.18	2.69	1	1	TARGET	101041	under-clustered	emscan-0828-agent5
54341	work-pr123r1-dbg141v2-mcp1k	99037	11	4.44	0.949	101041	7	40.9	101041	0	54.69	38.31	6.49	13.68	11.79	16.31	1	1	TARGET	101041	under-clustered	emscan-0828-agent5
54341	work-pr123r1-dbg141v2-mcp1k	99038	11	2.42	0.459	101041	8	45.3	101041	0	57.84	41.5	0.0	16.75	12.64	17.05	1	1	TARGET	101041	under-clustered	emscan-0828-agent5
