setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
141	mcp2k	91917	base	2	54.5	51.9	0.95	0.0	0	OK
141	mcp2k	99782	base	1	156.6	151.0	0.96	0.0	0	OK
141	mcp2k	99782	base	2	64.8	62.8	0.97	0.0	0	OK
141	mcp2k	103798	base	1	133.0	128.3	0.97	0.0	0	OK
141	mcp2k	103798	base	2	97.6	99.1	1.01	0.0	0	OK
141	mcp1k	168432	base	1	259.1	246.8	0.95	0.0	0	OK
141	mcp1k	168432	base	2	143.0	118.6	0.83	20.5	2	OK
141	mcp2k	171729	base	1	117.2	114.8	0.98	0.0	0	OK
141	mcp2k	171729	base	2	39.8	38.2	0.96	0.0	0	OK
141	mcp2k	242726	base	1	116.1	110.6	0.95	0.0	0	OK
141	mcp2k	242726	base	2	67.8	64.6	0.95	0.0	0	OK
141	mcp2k	280159	base	1	78.1	95.8	1.23	0.0	0	OK
141	mcp2k	280159	base	2	129.6	132.4	1.02	0.0	0	OK
141	mcp1k	280972	overlay	1	625.6	595.8	0.95	0.0	0	OK
141	mcp1k	280972	overlay	2	127.3	121.2	0.95	0.0	0	OK
141	mcp1k	283713	base	1	163.9	158.8	0.97	0.0	0	OK
141	mcp1k	283713	base	2	27.1	25.8	0.95	0.0	0	OK
141	mcp1k	285443	base	1	281.3	268.7	0.96	0.0	0	OK
141	mcp1k	285443	base	2	37.1	35.3	0.95	0.0	0	OK
