key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
028084_20/65	103	61.34	0.8333	1.8	0.2	0.9167	1.2	0.5556	5	2.522e+04	1.155e+04	-0.3756	-0.821	0.43	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c65.json
028084_21/120	571	348.1	0.2167	1.8	1.033	0.3833	4.615	0.5556	0.9677	5.467e+04	1.978e+04	0.168	-0.9787	-0.1178	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c120.json
028084_21/128	438	259.9	0.3667	1.033	1.45	0.95	2.727	0.9677	0.6897	5.032e+04	1.843e+04	0.3303	-0.923	0.1971	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c128.json
028084_21/132	343	206.4	1.633	1.383	0.8667	0.7	0.6122	0.7229	1.154	5.448e+04	2.128e+04	-0.2463	-0.4917	-0.8352	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c132.json
028084_21/134	473	284.5	0.2	1.8	1.2	0.1917	5	0.5556	0.8333	2.813e+04	2.559e+04	0.01901	-0.9997	0.01581	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c134.json
028084_21/17	102	59.82	0.6667	1.467	0.95	1.2	1.5	0.6818	1.053	4.534e+04	2.322e+04	0.4034	-0.832	0.3809	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c17.json
028084_21/26	1052	635	0.9833	1.883	0.55	0.2167	1.017	0.531	1.818	4.028e+04	2.25e+04	-0.02904	-0.854	0.5195	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c26.json
028084_21/55	303	180.2	1.567	0.8333	1.433	1.067	0.6383	1.2	0.6977	4.826e+04	2.808e+04	0.4003	-0.4153	-0.8169	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c55.json
028084_21/56	458	274.3	0.7333	1.733	0.7	0.2833	1.364	0.5769	1.429	5.022e+04	1.35e+04	-0.1199	-0.9187	0.3763	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_21-c56.json
028084_22/103	80	47.4	0.3333	0.7833	1.317	1.583	3	1.277	0.7595	5.503e+04	1.887e+04	0.5391	0.8098	-0.2314	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_22-c103.json
028084_22/44	489	292.6	0.7667	1.667	0.65	0.6333	1.304	0.6	1.538	4.805e+04	2.138e+04	0.2819	-0.8719	0.4003	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_22-c44.json
028084_22/57	434	259.3	0.5167	0.7333	1.6	0.3167	1.935	1.364	0.625	5.14e+04	1.499e+04	0.1048	-0.9584	-0.2657	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_22-c57.json
028084_23/113	143	88.14	0.8167	1.6	0.3167	0.6833	1.224	0.625	3.158	5.904e+04	2.162e+04	-0.2753	-0.8509	-0.4475	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c113.json
028084_23/114	355	211	1.467	1.383	0.55	0.5833	0.6818	0.7229	1.818	5.683e+04	1.574e+04	0.2388	-0.6382	-0.7319	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c114.json
028084_23/122	112	65.7	0.925	0.5667	1.8	0.6833	1.081	1.765	0.5556	5.449e+04	1.641e+04	0.2334	-0.8535	0.4659	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c122.json
028084_23/35	1005	602.1	0.6167	1.517	0.7333	1.242	1.622	0.6593	1.364	4.516e+04	2.328e+04	-0.4527	-0.8337	0.3163	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c35.json
028084_23/45	971	604.9	0.8833	0.4667	1.483	0.2333	1.132	2.143	0.6742	3.453e+04	2.239e+04	0.01895	-0.8706	-0.4916	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c45.json
028084_23/46	119	71.96	0.07937	1.143	1.95	0.8333	12.6	0.875	0.5128	1.095e+04	1.525e+04	-0.3499	0.9357	0.04582	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c46.json
028084_23/51	582	348.2	0.5833	0.5333	1.733	1.3	1.714	1.875	0.5769	5.469e+04	1.903e+04	-0.4295	-0.8475	-0.312	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c51.json
028084_23/53	95	55.57	0.9167	0.3417	1.8	2.4	1.091	2.927	0.5556	4.69e+04	1.989e+04	-0.793	-0.3863	-0.471	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_23-c53.json
028084_24/103	676	405.6	0.3333	0.4333	0.9333	2.567	3	2.308	1.071	5.476e+04	1.542e+04	0.817	0.5528	-0.1639	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_24-c103.json
028084_24/114	82	47.67	0.2887	1.983	0.6167	2.147	3.463	0.5042	1.622	5.799e+04	2.36e+04	0.7096	0.6909	0.1386	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_24-c114.json
028084_24/49	446	267.2	0.675	0.5333	1.558	0.4	1.481	1.875	0.6417	5.607e+04	1.754e+04	0.123	-0.9321	-0.3407	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_24-c49.json
028084_24/52	117	69.67	1.117	0.275	1.667	1.908	0.8955	3.636	0.6	6.22e+04	2.479e+04	0.6255	-0.5714	-0.5313	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_24-c52.json
028084_25/28	233	137.5	0.8	0.4	1.6	1.383	1.25	2.5	0.625	4.471e+04	2.587e+04	-0.4758	0.7805	0.4054	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_25-c28.json
028084_25/36	316	186.4	0.8	0.4417	1.6	1.108	1.25	2.264	0.625	5.051e+04	1.959e+04	0.4008	-0.8053	-0.4369	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_25-c36.json
028084_25/84	303	180.6	0.4667	1.183	1.533	0.3667	2.143	0.8451	0.6522	5.424e+04	1.602e+04	-0.1023	-0.9697	0.2216	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_25-c84.json
028084_26/109	83	49.47	0.95	1.417	0.4333	0.2333	1.053	0.7059	2.308	6.62e+04	2.141e+04	0.09528	-0.9019	-0.4213	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c109.json
028084_26/111	519	309.7	0.7333	0.4333	1.633	1.333	1.364	2.308	0.6122	5.541e+04	1.388e+04	0.4399	0.8235	-0.3582	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c111.json
028084_26/115	384	229.9	0.08333	2.042	1.25	0.5583	12	0.4898	0.8	5.866e+04	1.728e+04	0.1768	-0.9836	0.0346	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c115.json
028084_26/118	50	39.44	0.95	1.433	1.033	0.01667	1.053	0.6977	0.9677	7189	2.578e+04	-0.0002904	0.9929	0.1194	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c118.json
028084_26/32	523	315.2	1.367	0.4333	1.333	0.4333	0.7317	2.308	0.75	4.411e+04	2.475e+04	-0.1575	0.6743	0.7215	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c32.json
028084_26/38	152	94.49	0.6167	0.9667	0.8571	0.7167	1.622	1.034	1.167	1.498e+04	1.494e+04	0.6573	-0.7466	-0.103	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_26-c38.json
028084_27/107	181	109.9	0.3667	1.292	1.458	0.275	2.727	0.7742	0.6857	5.839e+04	1.921e+04	-0.1184	-0.9713	0.2064	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c107.json
028084_27/111	39	53.92	0.6167	1.667	0.95	0.475	1.622	0.6	1.053	8063	1.121e+04	0.2318	-0.9435	-0.2369	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c111.json
028084_27/26	221	139.8	0.7	0.65	1.433	0.3167	1.429	1.538	0.6977	1.846e+04	1.558e+04	-0.004014	-0.9588	-0.2841	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c26.json
028084_27/27	461	272.2	0.1333	1.167	1.883	0.8333	7.5	0.8571	0.531	4.841e+04	1.394e+04	-0.2779	-0.9603	0.02245	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c27.json
028084_27/46	111	66.87	1.35	0.6333	1.367	0.3667	0.7407	1.579	0.7317	4.098e+04	2.031e+04	0.06719	0.6058	0.7928	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c46.json
