sample	event	arm	nseg	len_cm	fit_bow	img_bow	res_bow	res_rms	res_med	cover
mcp2k	170076	pr150tcsp3bw	1	342.8	2.636	3.244	0.348	0.555	0.024	0.998
mcp2k	172762	pr150tcsp3bw	1	322.0	3.188	3.237	0.054	0.152	0.009	0.996
mcp2k	174164	pr150tcsp3bw	2	268.6	19.757	19.593	0.467	0.703	-0.001	0.996
mcp2k	174771	pr150tcsp3bw	3	295.1	2.065	2.273	0.465	0.769	0.005	1.000
mcp2k	174993	pr150tcsp3bw	1	133.4	4.291	5.501	0.123	0.361	0.033	1.000
mcp2k	175952	pr150tcsp3bw	2	343.0	19.126	18.765	0.731	0.869	0.042	0.998
mcp2k	176502	pr150tcsp3bw	17	442.9	3.063	3.585	1.386	1.807	0.091	0.996
mcp2k	178350	pr150tcsp3bw	1	150.0	3.700	3.186	0.091	0.474	0.028	1.000
mcp2k	178841	pr150tcsp3bw	2	387.5	3.139	3.021	0.258	0.415	0.002	0.997
mcp2k	179048	pr150tcsp3bw	3	320.2	3.513	3.721	0.228	0.466	0.002	0.998
mcp2k	179054	pr150tcsp3bw	1	112.3	1.470	2.301	1.146	1.259	-0.007	1.000
mcp2k	179604	pr150tcsp3bw	3	439.5	6.663	6.551	0.328	0.546	0.044	1.000
mcp2k	180403	pr150tcsp3bw	2	142.0	1.728	2.028	0.459	0.944	-0.133	0.996
mcp2k	180698	pr150tcsp3bw	2	265.1	0.569	0.887	0.193	0.401	0.008	1.000
mcp2k	237710	pr150tcsp3bw	1	112.9	3.055	2.915	0.148	0.370	0.039	0.973
mcp2k	237798	pr150tcsp3bw	1	250.7	11.838	12.093	0.169	0.425	0.016	0.998
mcp2k	241626	pr150tcsp3bw	1	135.0	5.997	6.390	0.187	0.520	0.022	0.996
mcp2k	242550	pr150tcsp3bw	2	450.7	1.480	0.832	0.378	0.601	0.024	0.995
mcp2k	280159	pr150tcsp3bw	3	192.1	0.728	1.116	0.561	1.042	-0.006	0.997
mcp2k	283299	pr150tcsp3bw	4	301.7	7.508	7.535	0.284	0.575	-0.007	0.992
mcp2k	283833	pr150tcsp3bw	1	457.7	1.372	1.085	0.326	0.483	0.024	0.999
mcp2k	283849	pr150tcsp3bw	1	123.5	2.177	2.582	0.541	0.711	0.058	0.995
mcp2k	289464	pr150tcsp3bw	1	294.9	8.117	6.139	0.304	0.639	0.028	0.998
mcp2k	290542	pr150tcsp3bw	1	172.9	7.681	7.328	0.092	0.221	0.024	0.993
mcp2k	292436	pr150tcsp3bw	1	238.6	11.740	11.160	0.552	0.698	0.015	0.995
mcp2k	292788	pr150tcsp3bw	2	163.2	3.150	3.221	0.138	0.302	0.013	0.993
mcp2k	316021	pr150tcsp3bw	2	147.5	6.024	5.946	1.201	1.488	0.142	1.000
mcp2k	317407	pr150tcsp3bw	2	395.1	7.752	7.703	0.464	0.652	0.026	0.997
mcp2k	317539	pr150tcsp3bw	2	189.2	9.610	10.238	0.713	1.030	0.065	0.997
mcp2k	321235	pr150tcsp3bw	2	129.4	0.742	0.969	0.058	0.188	0.005	1.000
mcp2k	321937	pr150tcsp3bw	1	234.1	7.011	6.259	0.098	0.259	0.013	0.997
mcp2k	322135	pr150tcsp3bw	1	246.3	5.348	5.197	0.273	0.506	0.028	0.998
mcp2k	322663	pr150tcsp3bw	3	152.9	0.656	0.810	0.339	0.503	-0.011	1.000
mcp2k	322885	pr150tcsp3bw	1	239.8	7.754	8.042	0.232	0.571	0.008	1.000
mcp2k	348638	pr150tcsp3bw	1	136.9	0.437	0.365	0.466	0.538	-0.219	0.978
mcp2k	349056	pr150tcsp3bw	1	173.9	3.857	3.789	0.885	0.949	0.024	1.000
mcp2k	350354	pr150tcsp3bw	6	139.3	1.579	1.617	1.158	1.553	-0.274	0.996
mcp2k	354248	pr150tcsp3bw	3	158.2	3.298	3.591	1.034	1.356	-0.056	1.000
mcp2k	390216	pr150tcsp3bw	1	203.8	19.556	19.463	0.490	0.626	0.041	1.000
mcp2k	391899	pr150tcsp3bw	4	225.8	1.092	1.250	0.461	0.873	0.063	1.000
mcp2k	392417	pr150tcsp3bw	3	145.0	4.793	4.869	0.410	0.662	0.169	1.000
mcp2k	392693	pr150tcsp3bw	1	288.6	17.387	17.355	0.076	0.200	0.005	0.998
mcp2k	393119	pr150tcsp3bw	1	177.1	1.991	2.076	0.221	0.469	0.027	1.000
mcp2k	393505	pr150tcsp3bw	1	155.3	10.827	11.038	0.298	0.549	0.018	1.000
mcp2k	393538	pr150tcsp3bw	4	312.8	2.130	1.437	0.199	0.476	0.006	0.998
mcp2k	393791	pr150tcsp3bw	1	109.4	3.627	3.555	0.198	0.382	0.004	1.000
mcp2k	393835	pr150tcsp3bw	1	217.3	13.447	12.694	0.197	0.534	0.020	0.997
mcp2k	395079	pr150tcsp3bw	1	211.1	3.813	3.741	0.069	0.124	0.040	0.994
mcp2k	395209	pr150tcsp3bw	4	438.6	1.277	1.588	0.302	0.586	0.027	0.997
mcp2k	395485	pr150tcsp3bw	2	129.0	7.575	7.645	0.156	0.427	0.014	0.995
mcp2k	395717	pr150tcsp3bw	2	119.1	2.373	1.977	0.343	0.485	0.043	1.000
mcp2k	396091	pr150tcsp3bw	2	148.8	8.344	7.328	0.880	1.259	-0.035	1.000
mcp2k	396551	pr150tcsp3bw	2	184.9	1.720	1.779	0.217	0.582	0.050	0.987
