event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
92684	1	19	3	14	636.61	0.018115	0.23195	0.21429	0	0.17002	0.42857	0	0	1	36	0	0.14286	0	0	0.16812	0	0	14	0	0.071429	0.1017	0.35714	0	14	0	0.11111	0.47872	0.11111	0.35714	9
92838	0																																		
92904	1	15	7	75	1020	0.061798	0.26637	0.053333	0	0.13524	0.10667	0.98042	1	1	297	0.08	0.17333	0.026667	0.026667	0.24472	0.066667	0	75	0.04	0.013333	0.29186	0.066667	0	75	0	0	0.24729	0.066667	0	75
92907	1	11	8	40	1502.2	0.017619	0.15623	0	0	0.10358	0	0.66571	1	1	113	0.2	0.525	0	0	0.24002	0	0	40	0	0	0.24802	0	0	40	0	0	0.05993	0	0	40
92992	1	3	8	140	547.27	0.016707	0.10732	0	0	0.10639	0	0	0	1	731	0.042857	0.10714	0	0	0.21831	0	0	140	0	0	0.26636	0	0	140	0	0	0.25309	0	0	140
93105	1	9	11	485	2094.7	0.022131	0.10855	0.016495	0	0.12355	0.0061856	0.47739	1	0.77013	3427	0.028866	0.084536	0.0061983	0.0041322	0.23177	0	0.0020619	484	0	0	0.23518	0	0.0020619	484	0.0061856	0.0020619	0.25662	0	0	485
93146	0																																		
93171	0																																		
93234	1	9	5	20	132.34	0.31848	0.088753	0	0	0.13023	0	0	0	1	65	0	0.3	0	0	0.3198	0	0	20	0	0	0.16387	0	0	20	0	0	0.13163	0	0	20
93237	0																																		
93325	0																																		
93545	1	11	1	65	110.44	0.013011	0.013011	0	0	0.080119	0	0	0	1	344	0	0	0	0	0.20788	0	0	65	0	0	0.22811	0	0	65	0	0	0.22709	0	0	65
93652	0																																		
93655	0																																		
93677	1	16	17	206	1503.8	0.026966	0.16195	0	0	0.12654	0.029126	0	0	0.9952	952	0.019417	0.20874	0.0097087	0	0.24768	0	0	206	0.034314	0.029412	0.2581	0	0.0097087	204	0	0	0.20166	0	0	206
93696	1	7	5	252	672.99	0.068561	0.1569	0.035714	0	0.14672	0.015873	0	0	0.69077	1745	0.011905	0.055556	0.011905	0.011905	0.26074	0	0	252	0.011905	0.0079365	0.24647	0	0	252	0.0039841	0	0.28792	0	0.0039683	251
93776	1	9	6	307	1667.3	0.007073	0.012548	0.016287	0	0.14226	0	0	0	0.84932	2549	0.009772	0.055375	0	0	0.23794	0	0	307	0	0	0.26303	0	0	307	0	0	0.26985	0	0.0032573	306
93875	0																																		
93919	1	5	6	182	1613.8	0.22332	0.3173	0.043956	0	0.17547	0.010989	0.61965	1	0.69581	1613	0.065934	0.098901	0.010989	0.0054945	0.25583	0.0054945	0	182	0.0077519	0.0077519	0.20631	0.0077519	0.29121	129	0	0	0.24587	0.0054945	0	182
93960	0																																		
94007	0																																		
94029	1	23	12	278	3366.2	0.020396	0.033553	0.010791	0	0.1111	0.0035971	0.89123	3	0.98826	1494	0.061151	0.10072	0.0071942	0	0.24749	0	0	278	0.0071942	0	0.27011	0	0	278	0.0071942	0.0035971	0.24683	0	0	278
94092	1	13	5	521	2091.9	0.61478	0.24559	0.015355	0	0.10459	0.015355	1.4341	3	0.97815	2804	0.024952	0.026871	0.0076775	0.0038388	0.25957	0	0	521	0.0038388	0	0.23998	0	0	521	0.015842	0.015842	0.24114	0	0.03071	505
94095	0																																		
94180	0																																		
94224	1	17	7	251	1532.3	0.17892	0.17242	0.023904	0.0039841	0.25337	0.031873	0.65261	1	0.8385	1673	0.051793	0.12351	0.01992	0.011952	0.28065	0	0	251	0.024096	0.0040161	0.26858	0	0.0079681	249	0.039841	0.027888	0.28155	0	0	251
94293	1	16	13	926	3371.4	0.37781	0.33718	0.010799	0	0.11336	0.014039	0	0	0.95948	5219	0.0021598	0.039957	0.0065147	0.0065147	0.25023	0	0.0053996	921	0.011062	0.0099558	0.24189	0	0.023758	904	0.0044297	0.0044297	0.24067	0	0.024838	903
94392	1	5	11	473	2668.6	0.29343	0.15394	0.067653	0.0063425	0.2454	0.040169	1.1242	3	0.54795	3710	0.065539	0.10148	0.014799	0.0084567	0.25681	0.0063425	0	473	0.021142	0.014799	0.27053	0.0042283	0	473	0.030303	0.021645	0.25915	0	0.023256	462
94546	1	13	4	601	1724.5	0.15474	0.34149	0.0066556	0	0.13067	0.0049917	0.57986	1	0.74127	5366	0.0049917	0.016639	0.0016694	0.0016694	0.23487	0	0.0033278	599	0.0052356	0.0034904	0.25228	0	0.046589	573	0	0	0.25006	0	0.03827	578
94557	0																																		
94656	0																																		
94678	1	8	4	201	805.53	0.15025	0.21225	0.034826	0	0.28454	0.0049751	0	0	0.26217	3531	0.0049751	0.034826	0.025126	0.0050251	0.26102	0	0.0099502	199	0	0	0.25396	0	0	201	0.01	0	0.2871	0	0.0049751	200
94796	0																																		
94876	0																																		
94942	1	10	4	284	716.76	0.21474	0.51207	0.028169	0.010563	0.08717	0.038732	0	0	1	1362	0.021127	0.080986	0.014085	0.0070423	0.24745	0	0	284	0.028369	0.028369	0.26749	0	0.0070423	282	0.024648	0.014085	0.24503	0	0	284
95074	1	10	12	219	1623.3	0.014291	0.052117	0	0	0.09346	0.0045662	0.61602	1	0.99963	1070	0.018265	0.10959	0.0091324	0.0045662	0.29667	0	0	219	0.0045662	0.0045662	0.24402	0	0	219	0	0	0.27042	0	0	219
95151	1	61	8	115	616.85	0.057789	0.15209	0.034783	0	0.19993	0.017391	1.6211	1	0.97979	575	0.052174	0.18261	0.0086957	0.0086957	0.24116	0.0086957	0	115	0.026087	0	0.25101	0.0086957	0	115	0	0	0.21404	0.0089286	0.026087	112
95162	0																																		
95170	1	52	11	160	1491.2	0.27445	0.19667	0	0	0.1327	0.0375	0	0	0.99911	731	0.01875	0.125	0.00625	0.00625	0.28998	0.0125	0	160	0.01875	0.01875	0.18536	0.0125	0	160	0	0	0.19571	0.0125	0	160
95173	0																																		
95184	1	3	10	92	711.22	0.031053	0.018169	0	0	0.16067	0	0	0	0.47751	829	0.043478	0.17391	0	0	0.25852	0	0	92	0	0	0.25228	0	0	92	0	0	0.21196	0	0	92
95305	0																																		
95316	0																																		
95327	0																																		
95361	0																																		
95371	0																																		
95405	1	17	4	237	1458.9	0.12642	0.16239	0.050633	0	0.18327	0.0042194	0.68543	1	0.82151	1890	0.075949	0.067511	0	0	0.25401	0	0	237	0.016878	0.0042194	0.30356	0	0	237	0.012658	0	0.27271	0	0	237
95412	1	12	12	449	2253.9	0.32408	0.17015	0	0	0.15218	0.0089087	0.44368	1	0.91931	2268	0.028953	0.062361	0	0	0.25106	0.0044543	0	449	0.0022272	0	0.23336	0.0044543	0	449	0.0044843	0.0044843	0.26138	0.0044843	0.0066815	446
95492	0																																		
95500	0																																		
95503	0																																		
95544	0																																		
95625	0																																		
95646	0																																		
