# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
49016	ql/pctree-evt49016.tar.gz	70c0f78580c876b6ce509462dc5b56c05d7eed695ff84f7c01b7d5b8a4eac4cc	410
49346	img/icluster-apa0-active	4134d74eb1bccc95231e895879449afb0bc83f5898f4e6949c51cc72375b443e	12
49346	img/icluster-apa0-masked	d1259531d8094015b1431f4aed731254d34ba1a4aef6872ad53256a6a2fd1898	9
49346	img/icluster-apa1-active	a94947f539e9d6fe102b570a563cd70445d85158622725c393a907b9e286aed9	12
49346	img/icluster-apa1-masked	f30aa0ae95845b2902a7be5161edc3645e65bf109c6690d346cf281bd499a372	9
49346	ql/mabc-all-apa.zip	96c749b1210c98ca52e3d2d11d157a44a12fbd76a3d443a89b20e1558a0aff8d	5
49346	ql/mabc-apa0-face0.zip	934047c383a7c589aa10d4f68f3155302a91e76be4de4fc3d559f829d515ca84	2
49346	ql/mabc-apa1-face0.zip	09f177b2944b9ff04622e26991ccb0f17654b604461ae62563a1ec76f241f216	2
49346	ql/pctree-evt49346.tar.gz	a323a4df7805feb90bcc0ee04836c8a7ff4f0ce145858c1b906ff28b06f6b8d5	410
49415	img/icluster-apa0-active	5015636f1c82860c7fb87e99d1d0d900d1ccd83219b15ba9f8d463a87236893a	12
49415	img/icluster-apa0-masked	e1293bab6ecb3940cb1a782316af59f9c1ad0232df13f6257d7595041f170b34	9
49415	img/icluster-apa1-active	a420c9fbe5c2043748619f69e707ddd54a4de3fc54b2798c9f30f3ee2aad8cb8	12
49415	img/icluster-apa1-masked	f798447a5f46913688c1683545f8ad4780f90ff8525e854566aedcdbc65992b2	9
49415	ql/mabc-all-apa.zip	ff86a2d1a04c2bb29db03d024490152c957e79fd4d14da6fb842bc0d70bfba11	5
49415	ql/mabc-apa0-face0.zip	dc89ef824fb678eed18c988e4212136f4c45ce1336626aed9d15abbe6098798e	2
49415	ql/mabc-apa1-face0.zip	5e6017d3267cc38f6e2ddb20bea2caab699e77e8ab34bb5fd86f94b34c866648	2
49415	ql/pctree-evt49415.tar.gz	679e35893dbc93ac845ac851d5710252691f88d0c5e0d01e39c5aecedd0cd21d	410
49657	img/icluster-apa0-active	2c0f79ab3074066b0fb7a9ac1d86dd57244f0f86f4f645ec3523f7ab60c7fe75	12
49657	img/icluster-apa0-masked	5fffbf2eeb7ba7e4d1292120be9f4d148d3723b5f8f367720ce311528820caa6	9
49657	img/icluster-apa1-active	41bb601c2acdf3901c7c1762c62aa66dbd36cbb66f4eeac803b86c6a44872411	12
49657	img/icluster-apa1-masked	2a9dfd67f68a8e5ea5c5c30d2628781ca01786376d37adbaed40886ec41bbd83	9
49657	ql/mabc-all-apa.zip	b6a0df8e1e5a45c34dfd757f4da3adf544f7df29a83bd4d7f6e003d73d7f52cc	5
49657	ql/mabc-apa0-face0.zip	84a212b23c208952a0b35722822be1b867acf6639294e48ddf959887e6449807	2
49657	ql/mabc-apa1-face0.zip	58205669b323a0c95c8b18d0a9e543cca648b2be5f4cd1b786ef0ca8e59e727b	2
49657	ql/pctree-evt49657.tar.gz	754b066be83f79435eb387473807eedb96c5e8bc2d51c37bb0e2087a93310ee4	410
49698	img/icluster-apa0-active	b2a325524439efef1f8d80bd7530a06b9ca998077ca04f7902609a6cb179f6e4	12
49698	img/icluster-apa0-masked	d535c48ff0f56ed5be3eb2eff5b7414b8934c2414c88e67a25eea3796e8f455b	9
49698	img/icluster-apa1-active	e95f7587885ef9f3946c7b087e7dfd7e020ae1763da66a3270f5b05e1f5acc68	12
49698	img/icluster-apa1-masked	2680f58726a335b6b20c3e1e95e1633a7b6c796e92b47ebc10f2e5bd9c8ff8d3	9
49698	ql/mabc-all-apa.zip	d2a32075f2a0531a804b890ba2c6ed9a3725537402f7c44761c33064cea0be42	5
