evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
99716	0.317	0.141	42	42	1	1	0.317	1	0.184	1
99782	0.296	0.32	37	38	1	1	0.296	1	0.107	1
99838	0.823	0.673	51	51	1	1	0.823	1	0.169	1
99959	0.0	0.0	2	2	1	1	0.0	1	0.0	1
99966	0.53	0.846	13	13	1	1	0.53	1	0.355	1
100135	2.897	0.701	29	28	1	1	2.844	1	2.456	1
100222	0.687	0.418	156	156	1	1	0.723	1	0.426	1
100245	0.269	0.231	13	13	1	1	0.269	1	0.058	1
100322	0.0	0.0	7	7	1	1	0.0	1	0.0	1
100420	1.043	1.17	18	18	1	1	1.043	1	0.139	1
100421	0.244	0.0	21	20	0	1	0.244	1	0.244	0
100564	0.501	0.647	8	8	1	1	0.501	1	0.258	1
101004	0.0	0.0	4	4	0	0	0.0	0	0.0	0
101224	0.0	0.0	32	32	0	0	0.0	0	0.0	0
101454	1.157	1.242	22	21	1	1	1.157	1	2.388	1
101498	1.109	0.627	14	14	0	0	0.0	0	1.426	0
101554	0.35	0.227	43	43	1	1	0.35	1	0.151	1
101675	1.992	1.985	39	39	1	1	1.992	1	0.295	1
102247	0.0	0.0	20	20	0	0	0.0	0	0.0	0
102841	0.863	1.026	29	29	1	1	0.863	1	0.208	1
103204	0.601	0.323	8	8	1	1	0.601	1	0.331	1
103391	1.632	0.535	29	29	0	0	0.407	0	1.706	0
103798	0.407	0.182	84	84	1	1	0.407	1	0.234	1
103952	0.758	0.25	36	36	0	1	0.758	1	0.52	0
104216	0.357	0.74	41	41	1	1	0.357	1	0.514	1
104260	0.0	0.0	30	29	1	1	0.0	1	0.0	1
104304	0.617	1.351	8	7	1	1	0.617	1	0.798	1
104920	0.504	0.524	13	13	1	1	0.504	1	0.334	1
105140	0.0	0.0	6	6	1	1	0.0	1	0.0	1
105316	0.263	0.306	65	66	1	1	0.263	1	0.279	1
105426	0.465	0.0	5	5	1	1	0.465	1	0.465	1
105492	0.0	0.0	23	22	1	0	0.848	0	0.0	1
156093	1.468	1.373	13	13	1	1	1.468	1	0.096	1
157281	1.016	1.301	11	11	1	1	1.016	1	0.509	1
158227	0.0	0.0	6	6	1	1	0.0	1	0.0	1
159569	1.129	1.106	38	39	1	1	1.26	1	0.572	1
161043	0.39	0.364	19	19	1	1	0.39	1	0.028	1
162143	1.097	0.418	36	36	1	1	1.097	1	0.71	1
163309	0.0	0.0	14	14	1	1	0.0	1	0.0	1
163771	0.0	0.0	11	11	0	1	0.0	1	0.0	0
164475	0.356	0.294	14	15	1	1	0.356	1	0.103	1
165157	3.721	3.721	60	61	0	0	3.469	0	0.0	0
