sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18255	1	401527	0	11.992	0.999	14	376960	0	nu-candidate	13	1	1	0	0																		
mcp2k	18255	1	401571	0	11.985	0.849	13	331600	0	cosmic-tagged	8	1	1	0	0																		
mcp2k	18255	1	401637	0	12.058	1.566	14	398808	0	cosmic-tagged	7	1	1	0	0																		
mcp2k	18255	1	401703	0	12.106	1.269	14	391116	0	cosmic-tagged	11	1	1	0	0																		
mcp2k	18255	1	401769	0	11.930	0.686	13	321372	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	402077	0	14.763	7.020	16	1206252	0	nu-candidate	9	1	1	1	0	0.721	57.7	5	-73.30465	147.68726	277.55658	2.1130123	-15.0	1.0	0.0	0.7	0.0	783.40186	40.495422	36.689747	3.8056762	4	3.1633184
mcp2k	18255	1	402209	0	14.751	6.543	16	1221316	0	nu-candidate	10	1	1	1	0	2.003	95.4	9	181.73474	-72.61698	152.38719	3.7520802	-15.0	1.0	0.0	0.7	0.0	780.9518	1.1076604	0.0	1.1076604	1	4.8378687
mcp2k	18255	1	402297	0	20.808	9.740	22	1228848	0	cosmic-tagged	9	1	1	1	0	1.433	229.7	8	-107.08729	8.286606	97.36935	1.7924477	-15.0	1.0	1.0	0.7	0.0	935.0939	2.0090039	0.0	2.0090039	3	5.253618
mcp2k	18255	1	402319	0	11.938	0.786	13	336168	0	cosmic-tagged	8	1	1	0	0																		
mcp2k	18255	1	402627	0	12.106	1.215	14	430520	0	no-bundle	13	0	1	0	0																		
mcp2k	18255	1	402649	0	10.774	1.200	12	424376	0	cosmic-tagged	11	1	1	0	0																		
mcp2k	18255	1	402913	0	13.453	2.131	15	469300	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18255	1	403023	0	18.244	6.534	20	1206648	0	nu-candidate	10	1	1	1	0	1.805	82.9	17	-79.29042	73.1503	423.06662	2.532086	-15.0	1.0	0.0	0.7	0.0	551.83093	1.7946329	0.0	1.7946329	2	11.080996
mcp2k	18255	1	403309	0	17.051	5.727	19	1218032	0	nu-candidate	10	1	1	1	0	0.978	34.4	2	14.205666	-181.54576	467.44913	-0.4296828	-9.623378	1.0	0.0	0.7	0.0	103.19484	1.2845496	0.0	1.2845496	1	0.33460218
mcp2k	18255	1	403375	0	12.125	1.058	14	375928	0	no-beam-flash	14	0	0	0	0																		
mcp2k	18255	1	403397	0	15.771	5.962	17	1183224	0	nu-candidate	8	1	1	1	0	1.970	67.4	9	-47.10516	45.180405	220.77065	4.357729	-15.0	1.0	0.0	0.7	0.0	529.9446	2.3854022	0.0	2.3854022	2	11.249717
mcp2k	18255	1	403419	0	10.678	1.103	11	384156	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18255	1	403441	0	13.549	5.095	15	1219832	0	nu-candidate	11	1	1	1	0	1.154	1.8	5	142.05493	70.68798	430.27994	-1.5634937	-15.0	1.0	0.0	0.7	0.0	114.95057	0.0	0.0	0.0	0	7.353097
mcp2k	18255	1	403859	0	10.782	0.838	12	343944	0	no-bundle	12	0	1	0	0																		
mcp2k	18255	1	404189	0	19.346	7.491	21	1193816	0	nu-candidate	11	1	1	1	0	1.798	207.7	1	-71.46144	62.939445	192.77837	4.3808184	-15.0	1.0	0.0	0.7	0.0	850.92926	0.0	0.0	0.0	0	0.0
mcp2k	18255	1	404299	0	13.255	1.663	15	449408	0	cosmic-tagged	12	1	1	0	0																		
mcp2k	18255	1	404629	0	13.256	1.238	15	422788	0	cosmic-tagged	12	1	1	0	0																		
mcp2k	18255	1	404893	0	13.193	1.248	15	409080	0	no-beam-flash	14	0	0	0	0																		
mcp2k	18255	1	405025	0	13.309	1.214	15	403036	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18255	1	405201	0	23.172	10.119	25	1277300	0	nu-candidate	17	1	1	1	0	1.911	313.2	13	33.333485	14.162178	72.59874	4.0540347	-15.0	1.0	0.0	0.7	0.0	1243.508	1.3680435	0.0	1.3680435	1	0.21434346
mcp2k	18255	1	405223	0	13.146	0.745	15	317272	0	nu-candidate	5	1	1	0	0																		
mcp2k	18255	1	405443	0	13.289	1.246	15	413016	0	no-bundle	13	0	1	0	0																		
mcp2k	18255	1	405487	0	13.250	1.126	15	390884	0	cosmic-tagged	12	1	1	0	0																		
mcp2k	18255	1	405707	0	33.106	19.597	34	1405536	0	nu-candidate	14	1	1	1	0	0.837	316.1	6	-19.969519	168.46394	212.42957	4.010946	-15.0	1.0	0.0	0.7	0.0	934.9278	661.433	659.54474	1.888244	5	8.562024
mcp2k	18255	1	405839	0	12.923	0.999	14	369128	0	no-bundle	11	0	1	0	0																		
mcp2k	18255	1	405927	0	15.524	5.799	16	1228680	0	nu-candidate	14	1	1	1	0	1.628	65.8	6	109.74171	-73.32811	103.72319	1.9020205	-15.0	1.0	0.0	0.7	0.0	296.91663	64.055786	0.0	64.055786	3	0.7623293
mcp2k	18255	1	405971	0	15.511	5.313	16	1183484	0	nu-candidate	15	1	1	1	0	1.138	5.1	1	-170.45172	72.597824	210.53569	-1.5059515	-15.0	1.0	0.0	0.7	0.0	156.5731	0.0	0.0	0.0	0	2.932275
mcp2k	18255	1	406125	0	18.029	7.479	20	1183796	0	nu-candidate	10	1	1	1	0	1.570	89.5	42	-7.987071	15.622402	28.149786	1.1927531	-9.588842	1.0	0.0	0.7	0.0	837.0916	3.6419263	0.0	3.6419263	3	26.4441
mcp2k	18255	1	406147	0	25.474	13.388	27	1252356	0	nu-candidate	14	1	1	1	0	1.932	343.7	16	87.35156	-117.91778	62.732666	5.152449	-15.0	1.0	0.0	0.7	0.0	1292.7472	10.051658	0.0	10.051658	5	13.637265
mcp2k	18255	1	406257	0	13.094	1.044	15	389736	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18255	1	406323	0	13.191	1.120	15	409652	0	no-beam-flash	16	0	0	0	0																		
mcp2k	18255	1	406367	0	19.352	6.602	21	1255072	0	nu-candidate	10	1	1	1	0	1.835	66.3	6	-54.370293	164.77298	251.8066	1.402556	-15.0	1.0	0.0	0.7	0.0	407.09586	3.1870947	0.0	3.1870947	2	5.120998
mcp2k	18255	1	406631	0	24.213	12.227	26	1289704	0	nu-candidate	12	1	1	1	0	0.992	288.8	10	-166.6518	-14.5816555	295.30075	0.8466321	-15.0	1.0	0.0	0.7	0.0	979.1765	6.970036	0.0	6.970036	5	28.400255
mcp2k	18255	1	407314	0	13.146	1.233	15	414656	0	no-beam-flash	7	0	0	0	0																		
mcp2k	18255	1	407534	0	16.855	5.945	18	1189644	0	nu-candidate	11	1	1	1	0	1.359	69.6	9	186.69366	-80.41059	90.015366	2.1486194	-15.0	1.0	0.0	0.7	0.0	632.4184	6.395622	0.0	6.395622	4	4.3422003
mcp2k	18255	1	407798	0	19.395	8.087	21	1244216	0	cosmic-tagged	16	1	1	1	0	1.506	1.4	0	-3.9427361	110.15921	323.29562	0.79712325	-15.0	1.0	0.0	0.7	0.0	683.7147	9.970056	0.0	9.970056	5	26.230932
mcp2k	18255	1	407886	0	15.844	7.098	17	1175032	0	nu-candidate	8	1	1	1	0	1.379	119.9	6	36.921547	-19.32697	96.175415	-0.91247004	-15.0	1.0	1.0	-0.5645629	0.0	467.66632	619.06036	432.7248	186.33556	2	15.742008
mcp2k	18255	1	408304	0	15.630	6.113	17	1142248	0	nu-candidate	6	1	1	1	0	2.024	29.4	21	99.266945	-121.92869	185.52682	-0.047849286	-3.3782449	1.0	0.0	0.7	0.0	382.74176	22.695616	0.0	22.695616	10	3.0910509
