arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	283463	0	14	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283515	0	23	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283595	0	12	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283691	0	23	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283713	0	17	17006	2017.583740234375	0.9306930899620056	248.42620849609375	569.9536743164062	581.9	549.5	251.9	0	0	0	0	1	0	0	17
work-mcp1k-mcs80on	283771	0	21	21001	1286.903076171875	0.9104147553443909	137.76806640625	330.03668212890625	336.0	308.0	139.7	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	283905	0	4	4000	242.5626983642578	0.3210746943950653	113.75446319580078	279.3069763183594	283.3	296.4	115.0	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	283969	0	31	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283991	0	15	15003	275.1920471191406	0.02696620300412178	132.12344360351562	318.09747314453125	319.8	325.3	132.1	1	0	0	0	1	0	0	9
work-mcp1k-mcs80on	284013	0	8	8017	367.8509826660156	0.39283451437950134	147.1034698486328	349.7825012207031	351.9	345.7	147.1	1	0	0	0	1	2	3	10
work-mcp1k-mcs80on	284103	0	8	8005	481.6227111816406	0.7009937763214111	123.44023895263672	299.73199462890625	303.7	263.4	124.6	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	284145	0	11	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	284153	0	14	14005	317.842529296875	0.38438576459884644	136.3238983154297	326.9820861816406	328.8	328.4	136.3	1	0	0	0	1	0	0	9
work-mcp1k-mcs80on	284200	0	31	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	284211	0	14	14004	347.83453369140625	0.32625672221183777	140.83436584472656	336.52239990234375	339.0	305.1	141.1	0	0	0	0	1	0	0	10
work-mcp1k-mcs80on	284235	0	36	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	284637	0	23	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	284657	0	5	5005	551.5646362304688	0.8842697739601135	79.66460418701172	207.41961669921875	208.9	178.0	80.0	0	0	0	0	1	0	0	5
work-mcp1k-mcs80on	284769	0	16	16004	1843.3240966796875	0.8809171319007874	282.70648193359375	645.0502319335938	658.7	628.5	285.9	0	0	0	0	1	0	0	19
work-mcp1k-mcs80on	284791	0	4	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	284794	0	12	12013	711.8790893554688	0.3513479232788086	271.748046875	621.0440063476562	633.8	578.0	274.9	0	0	0	0	1	0	0	18
work-mcp1k-mcs80on	285069	0	9	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	285253	0	24	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
