sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	288327	work-d84r3-cens-mcp1k	22005	long_muon_else_pf	2	173	103.0	352.4	0.8386	101.1	252.6	257.8	229.5	7	false	0	0	2	103.0	257.8	0	0
mcp1k	288358	work-d84r3-cens-mcp1k	3001	long_muon_else_pf	1	204	122.1	694.1	0.8506	120.1	292.7	298.4	342.6	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	288639	work-d84r3-cens-mcp1k	8000	long_muon_else_pf	1	138	82.2	496.0	0.851	82.2	212.7	213.5	197.5	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	288859	work-d84r3-cens-mcp1k	9006	long_muon_else_pf	3	569	339.6	1526.3	0.6859	334.3	758.1	782.1	767.8	22	false	0	0	3	339.6	782.1	0	0
mcp1k	288947	work-d84r3-cens-mcp1k	16005	long_muon_else_pf	1	105	62.6	203.1	0.7402	62.6	170.8	171.5	166.4	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	289251	work-d84r3-cens-mcp1k	12002	long_muon_else_pf	4	480	285.8	4000.0	1	285.0	650.2	658.4	646.9	20	false	0	0	4	285.8	658.4	0	0
mcp1k	289559	work-d84r3-cens-mcp1k	14007	long_muon_else_pf	2	267	160.9	788.4	0.8703	160.9	378.9	381.5	370.4	11	false	1	1	2	160.9	381.5	0	0
mcp1k	289832	work-d84r3-cens-mcp1k	10001	long_muon_else_pf	1	362	219.7	888.2	0.5605	218.8	505.0	510.0	495.5	15	false	2	3	0	0.0	-1.0	0	0
mcp1k	290052	work-d84r3-cens-mcp1k	8016	long_muon_else_pf	1	129	76.9	212.7	0.8839	76.4	200.5	202.3	200.6	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	290729	work-d84r3-cens-mcp1k	12016	long_muon_else_pf	2	203	120.7	241.8	0.02512	118.7	289.8	295.4	258.8	8	false	0	0	2	120.7	295.4	0	0
mcp1k	291037	work-d84r3-cens-mcp1k	13008	long_muon_else_pf	2	188	111.6	238.8	0.1152	108.4	268.0	275.9	293.3	7	false	0	0	2	111.6	275.9	0	0
mcp1k	291064	work-d84r3-cens-mcp1k	14000	long_muon_else_pf	1	278	166.0	412.7	0.1742	165.5	388.7	392.6	402.6	12	false	1	1	0	0.0	-1.0	0	0
mcp1k	291262	work-d84r3-cens-mcp1k	18005	long_muon_else_pf	1	221	131.8	303.4	0.1176	131.8	317.4	319.1	333.8	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	291499	work-d84r3-cens-mcp1k	12000	long_muon_else_pf	1	68	40.5	269.8	0.9133	40.0	121.4	123.0	96.7	3	false	0	0	0	0.0	-1.0	0	0
mcp1k	291548	work-d84r3-cens-mcp1k	21001	long_muon_else_pf	1	120	71.3	158.4	0.2326	71.3	189.5	190.2	180.9	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	291570	work-d84r3-cens-mcp1k	17000	long_muon_else_pf	1	368	220.1	977.9	0.7717	213.3	493.0	511.0	422.6	14	false	0	0	0	0.0	-1.0	0	0
mcp1k	291961	work-d84r3-cens-mcp1k	4001	long_muon_else_pf	1	175	104.6	337.8	0.6411	104.1	259.0	261.2	319.3	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	292005	work-d84r3-cens-mcp1k	18004	long_muon_else_pf	2	280	167.1	861.4	0.7268	164.2	386.0	394.9	371.5	11	false	0	0	2	167.1	394.9	0	0
mcp1k	292027	work-d84r3-cens-mcp1k	12005	long_muon_else_pf	2	484	289.6	923.4	0.2383	288.1	656.9	667.0	653.0	20	false	0	0	2	289.6	667.0	0	0
mcp1k	292384	work-d84r3-cens-mcp1k	19005	long_muon_else_pf	2	640	384.5	880.6	0.01836	381.6	864.0	887.2	870.1	26	false	2	3	2	384.5	887.2	0	0
mcp1k	292406	work-d84r3-cens-mcp1k	6000	long_muon_else_pf	1	80	47.3	287.7	0.9279	46.1	135.2	138.3	105.3	3	false	0	0	0	0.0	-1.0	0	0
mcp1k	292533	work-d84r3-cens-mcp1k	3014	long_muon_else_pf	1	452	270.4	599.6	0.0235	268.0	612.9	623.5	603.9	18	false	0	0	0	0.0	-1.0	0	0
mcp1k	292577	work-d84r3-cens-mcp1k	12000	long_muon_else_pf	1	112	66.4	344.4	0.8953	66.2	178.5	179.8	156.2	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	292643	work-d84r3-cens-mcp1k	18009	long_muon_else_pf	1	313	188.3	428.8	0.2606	187.7	437.0	441.1	437.6	13	false	2	3	0	0.0	-1.0	0	0
mcp1k	292687	work-d84r3-cens-mcp1k	11005	long_muon_else_pf	2	174	103.3	1305.9	0.8403	103.3	257.2	258.3	237.4	7	false	0	0	2	103.3	258.3	0	0
mcp1k	313847	work-d84r3-cens-mcp1k	19022	long_muon_else_pf	2	166	98.5	447.7	0.8487	94.7	239.1	248.3	199.6	6	false	0	0	2	98.5	248.3	0	0
mcp1k	313979	work-d84r3-cens-mcp1k	12001	long_muon_else_pf	1	437	263.2	586.2	0.01007	263.2	602.3	607.2	596.2	18	false	2	3	0	0.0	-1.0	0	0
mcp1k	314507	work-d84r3-cens-mcp1k	51007	long_muon_else_pf	1	101	61.7	1085.3	0.8993	61.7	168.9	169.7	117.7	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	315013	work-d84r3-cens-mcp1k	15019	long_muon_else_pf	2	352	209.8	516.8	0.2055	205.1	475.1	488.3	472.6	14	false	0	0	2	209.8	488.3	0	0
mcp1k	315167	work-d84r3-cens-mcp1k	8010	long_muon_else_pf	1	96	57.3	165.5	0.6808	55.6	155.9	160.1	136.3	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	315497	work-d84r3-cens-mcp1k	14001	long_muon_else_pf	2	529	317.8	873.7	0.4777	316.2	718.5	731.7	708.6	21	false	4	5	2	317.8	731.7	0	0
mcp1k	315849	work-d84r3-cens-mcp1k	11000	long_muon_else_pf	1	126	74.8	34.5	1	74.2	195.9	197.9	157.5	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	315871	work-d84r3-cens-mcp1k	18005	long_muon_else_pf	1	162	96.5	314.8	0.6146	96.5	242.8	243.9	244.6	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	316025	work-d84r3-cens-mcp1k	16034	long_muon_else_pf	1	136	81.0	193.8	0.5411	79.9	208.0	211.1	246.1	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	316311	work-d84r3-cens-mcp1k	11001	long_muon_else_pf	1	134	80.0	531.0	0.7832	80.0	208.1	208.8	190.0	6	false	0	0	0	0.0	-1.0	0	0
mcp1k	316553	work-d84r3-cens-mcp1k	11001	long_muon_else_pf	2	440	262.7	1149.1	0.5724	261.5	598.6	606.1	601.5	18	false	0	0	2	262.7	606.1	0	0
mcp1k	316729	work-d84r3-cens-mcp1k	8026	long_muon_else_pf	2	214	128.1	218.3	0.4401	119.6	291.7	311.2	320.7	8	false	2	2	2	128.1	311.2	0	0
mcp1k	317191	work-d84r3-cens-mcp1k	17029	long_muon_else_pf	2	135	79.8	226.0	0.6744	76.4	200.6	208.5	247.8	5	false	0	0	2	79.8	208.5	0	0
mcp1k	317939	work-d84r3-cens-mcp1k	26000	long_muon_else_pf	1	255	152.9	380.9	0.4446	149.6	355.1	364.4	311.3	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	318731	work-d84r3-cens-mcp1k	1002	long_muon_else_pf	1	132	78.8	251.1	0.7857	78.4	204.7	206.3	198.0	5	false	0	0	0	0.0	-1.0	0	0
mcp1k	319611	work-d84r3-cens-mcp1k	2001	long_muon_else_pf	1	185	110.6	1796.7	0.9455	110.0	271.3	274.0	272.6	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	320029	work-d84r3-cens-mcp1k	24002	long_muon_else_pf	1	374	223.8	503.2	0.08396	222.5	513.2	519.3	520.9	15	false	0	0	0	0.0	-1.0	0	0
mcp1k	320865	work-d84r3-cens-mcp1k	13002	long_muon_else_pf	1	253	151.2	447.1	0.5381	150.9	357.9	360.7	358.3	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	321107	work-d84r3-cens-mcp1k	13000	long_muon_else_pf	1	399	239.0	503.6	0.09281	236.3	543.5	553.1	522.7	16	false	0	0	0	0.0	-1.0	0	0
mcp1k	321173	work-d84r3-cens-mcp1k	10001	long_muon_else_pf	1	218	130.2	329.0	0.3392	129.5	312.5	315.7	308.1	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	321371	work-d84r3-cens-mcp1k	18006	long_muon_else_pf	1	428	256.3	1256.0	0.7626	254.0	582.1	591.7	581.9	17	false	0	0	0	0.0	-1.0	0	0
mcp1k	321767	work-d84r3-cens-mcp1k	15008	long_muon_else_pf	3	443	263.7	903.2	0.5702	270.1	617.4	608.4	580.4	18	false	2	2	2	248.2	573.7	1	15.5
mcp1k	345633	work-d84r3-cens-mcp1k	8013	long_muon_else_pf	1	203	121.1	275.2	0.4426	118.1	288.4	296.3	260.5	8	false	0	0	0	0.0	-1.0	0	0
