root	plane	slice	t_ns	adv	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
work/039252_16_d42fit/tracking-stm.root	0	1180	1.65237e+06	0.0590241	273.839	0	82	6389	12301	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1181	1.6561e+06	0.0366291	273.839	0	5	6355	14364	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1183	1.65977e+06	0.0509358	273.839	0	0	4614	18188	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1184	1.66257e+06	0.0675259	273.839	0	0	2674	18859	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1185	1.66257e+06	0.0675259	273.839	0	0	2945	18962	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1186	1.66662e+06	0.00430349	273.839	0	0	2664	18475	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1187	1.66662e+06	0.00430349	273.839	0	0	391	18750	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1189	1.67101e+06	0.0198131	273.839	0	0	654	20098	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1190	1.67352e+06	0.0635622	273.839	0	0	195	18292	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1191	1.67635e+06	0.0719799	273.839	0	0	0	18108	200	0	0
work/039252_16_d42fit/tracking-stm.root	0	1192	1.67635e+06	0.0719799	273.839	0	0	0	16899	1299	0	0
work/039252_16_d42fit/tracking-stm.root	0	1193	1.67907e+06	0.0678207	273.839	0	0	0	16091	2137	0	0
work/039252_16_d42fit/tracking-stm.root	0	1194	1.6823e+06	0.0373216	273.839	0	0	0	13847	2616	0	0
work/039252_16_d42fit/tracking-stm.root	0	1196	1.68535e+06	0.0725757	273.839	0	0	583	11314	7774	30	0
work/039252_16_d42fit/tracking-stm.root	0	1198	1.68941e+06	0.135926	256.212	0	272	8624	14344	2063	0	0
work/039252_16_d42fit/tracking-stm.root	0	1199	1.69218e+06	0.0537642	256.212	0	864	8073	24142	1468	0	0
work/039252_16_d42fit/tracking-stm.root	0	1201	1.69578e+06	0.018297	256.212	0	0	5701	12176	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1203	1.69925e+06	0.0435649	256.212	0	135	3727	21938	42	0	0
work/039252_16_d42fit/tracking-stm.root	0	1204	1.70272e+06	0.0146463	256.212	0	85	3283	31011	73	0	0
work/039252_16_d42fit/tracking-stm.root	0	1205	1.70272e+06	0.0146463	256.212	0	5	4240	33979	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1206	1.70613e+06	0.00884681	256.212	0	48	4691	40333	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1208	1.70972e+06	0.00864157	256.212	0	162	6122	37707	266	0	0
work/039252_16_d42fit/tracking-stm.root	0	1209	1.71247e+06	0.00950006	256.212	0	0	6620	32337	1256	0	0
work/039252_16_d42fit/tracking-stm.root	0	1210	1.71247e+06	0.00950006	256.212	0	0	8100	35947	1968	0	0
work/039252_16_d42fit/tracking-stm.root	0	1211	1.71533e+06	0.0619955	256.212	0	0	2278	40754	3309	0	0
work/039252_16_d42fit/tracking-stm.root	0	1212	1.718e+06	0.0104575	256.212	0	0	918	50956	4757	0	0
work/039252_16_d42fit/tracking-stm.root	0	1213	1.72039e+06	0.0275496	256.212	0	0	2946	55918	5972	0	0
work/039252_16_d42fit/tracking-stm.root	0	1214	1.72039e+06	0.0275496	256.212	0	0	529	31003	6192	0	0
work/039252_16_d42fit/tracking-stm.root	0	1215	1.72381e+06	0.109128	256.212	0	0	0	14229	7604	0	0
work/039252_16_d42fit/tracking-stm.root	0	1217	1.72767e+06	0.0906499	256.212	0	0	0	9705	14818	0	0
work/039252_16_d42fit/tracking-stm.root	0	1219	1.73154e+06	0.0480504	253.943	0	0	7391	17899	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1220	1.73431e+06	0.0112768	253.943	0	222	5524	17163	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1222	1.73709e+06	0.0621325	253.943	0	13942	13976	21203	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1223	1.73986e+06	0.10317	253.943	0	16406	13406	25068	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1224	1.74262e+06	0.0704825	253.943	0	6790	6300	22533	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1225	1.74262e+06	0.0704825	253.943	0	1588	1862	20367	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1226	1.74538e+06	0.0979624	253.943	0	64	358	20880	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1227	1.7484e+06	0.0323477	253.943	0	0	0	23246	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1228	1.7484e+06	0.0323477	253.943	0	0	0	23961	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1229	1.75216e+06	0.0562803	253.943	0	0	0	22726	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1231	1.75493e+06	0.0624417	253.943	0	0	0	18520	0	469	0
work/039252_16_d42fit/tracking-stm.root	0	1232	1.75857e+06	0.00134214	253.943	0	0	0	17958	143	449	0
work/039252_16_d42fit/tracking-stm.root	0	1233	1.75857e+06	0.00134214	253.943	0	0	0	18739	1061	57	0
work/039252_16_d42fit/tracking-stm.root	0	1234	1.76134e+06	0.04638	253.943	0	0	0	22233	2659	0	0
work/039252_16_d42fit/tracking-stm.root	0	1235	1.76411e+06	0.00905265	253.943	0	0	0	21656	5164	0	0
work/039252_16_d42fit/tracking-stm.root	0	1237	1.76735e+06	0.0884784	253.943	0	0	0	18681	10714	0	0
work/039252_16_d42fit/tracking-stm.root	0	1238	1.77026e+06	0.145691	249.807	0	0	13919	10054	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1240	1.77298e+06	0.033981	249.807	0	0	10181	10248	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1241	1.77569e+06	0.00014083	249.807	0	0	8781	10247	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1243	1.77901e+06	0.0280343	249.807	0	0	7470	18204	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1244	1.78233e+06	0.0489424	249.807	0	0	6547	20106	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1246	1.78565e+06	0.0698514	253.943	0	0	70	1522	19462	0	0
work/039252_16_d42fit/tracking-stm.root	0	1250	1.7928e+06	0.0900982	249.807	0	0	1377	19800	125	0	0
work/039252_16_d42fit/tracking-stm.root	0	1251	1.79629e+06	0.077459	249.807	0	0	1048	16129	365	0	0
work/039252_16_d42fit/tracking-stm.root	0	1253	1.79979e+06	0.114663	249.807	0	0	697	12363	3325	0	0
work/039252_16_d42fit/tracking-stm.root	0	1254	1.80265e+06	0.0642389	249.807	0	0	302	13108	3823	0	0
work/039252_16_d42fit/tracking-stm.root	0	1255	1.80265e+06	0.0642389	249.807	0	0	0	12051	4883	0	0
work/039252_16_d42fit/tracking-stm.root	0	1257	1.80727e+06	0.0295951	249.807	0	0	0	10551	6794	0	0
work/039252_16_d42fit/tracking-stm.root	0	1259	1.81164e+06	0.0852805	232.617	0	0	8696	9531	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1260	1.81467e+06	0.110836	232.617	0	0	6516	10243	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1261	1.81467e+06	0.110836	232.617	0	0	5469	11207	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1262	1.8178e+06	0.0854251	232.617	0	0	3895	13164	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1263	1.82019e+06	0.0162734	232.617	0	0	3836	16753	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1265	1.82309e+06	0.00498645	232.617	0	516	426	15155	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1266	1.82607e+06	0.040236	232.617	0	977	1019	16609	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1268	1.82904e+06	0.00455554	232.617	0	0	231	15647	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1270	1.83346e+06	0.0438835	232.617	0	0	1	17406	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1271	1.83628e+06	0.0823024	232.617	0	0	0	17239	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1273	1.83909e+06	0.0823024	232.617	0	0	0	17751	1456	1120	0
work/039252_16_d42fit/tracking-stm.root	0	1277	1.8474e+06	0.0124291	244.174	0	0	15395	6724	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1279	1.85183e+06	0.00867971	244.174	0	0	10565	8136	0	0	0
