label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:q3	share	V	2	325.032	21	767466	1.73917	1.24155	1.10529	2.54637	0.277233	2.70494	1.45519e-11	0	0.635448
phase:q3	share	V	3	679.101	13	868998	2.09385	1.73827	1.35825	3.22389	0.246862	3.20744	0.753684	0	0.551974
phase:q3	share	V	4	896.458	16	770151	1.98742	1.73972	1.49244	2.90709	0.242146	3.15058	0.337596	0	0.59768
phase:q3	share	V	5	1204.07	9	863595	2.32068	1.91372	1.66397	5.07912	1.03225	4.49203	0.423557	0	0.480082
phase:q3	rms	W	0	139.235	16	417970	1.58261	1.21604	0.50388	0.899126	0.292758	1.2798	1.04275	0	0.812001
phase:q3	rms	W	1	332.21	18	442920	2.90967	0.992074	0.77041	7.5401	8.54985	8.07548	0.438249	0	0.721083
phase:q3	rms	W	2	380.946	7	443926	1.17657	0.972344	0.824201	0.93178	0.0521767	1.11817	0.240237	0	0.807569
phase:q3	rms	W	3	516.707	13	432193	1.47229	1.02713	0.958251	1.56553	0.891263	2.0309	1.45519e-11	0	0.789168
phase:q3	rms	W	4	619.932	13	417505	1.35587	1.32337	1.04877	1.16004	0.0583285	1.18701	0.403603	0	0.763541
phase:q3	rms	W	5	858.784	18	462632	1.35485	1.40934	1.23301	1.30887	0.180779	1.36969	1.45519e-11	0	0.76911
phase:q3	share	W	0	139.235	16	417970	1.58261	1.21604	0.50388	0.138809	0.498118	1.2798	1.04275	0	0.812001
phase:q3	share	W	1	332.21	18	442920	2.90967	0.992074	0.77041	1.54906	1.12589	8.07548	0.438249	0	0.721083
phase:q3	share	W	2	380.946	7	443926	1.17657	0.972344	0.824201	1.07247	0.073609	1.11817	0.240237	0	0.807569
phase:q3	share	W	3	516.707	13	432193	1.47229	1.02713	0.958251	1.24602	0.132469	2.0309	1.45519e-11	0	0.789168
phase:q3	share	W	4	619.932	13	417505	1.35587	1.32337	1.04877	1.26259	0.112477	1.18701	0.403603	0	0.763541
phase:q3	share	W	5	858.784	18	462632	1.35485	1.40934	1.23301	1.37647	0.190738	1.36969	1.45519e-11	0	0.76911
phase:q4	rms	U	0	100.002	24	760876	2.20932	1.30828	0.640206	4.12981	1.28446	3.57937	1.45519e-11	0	0.508848
phase:q4	rms	U	1	370.806	20	714970	3.20399	1.4493	0.94153	9.31816	6.11939	9.05156	0.468339	0	0.462708
phase:q4	rms	U	2	524.559	13	805310	1.74668	1.45441	1.07568	2.256	0.12536	2.09266	1.45519e-11	0	0.570893
phase:q4	rms	U	3	697.313	13	741667	2.17011	1.52083	1.20877	3.95758	0.197879	3.85759	1.45519e-11	0	0.559153
