label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
rr:rr>30cm	rms	U	5.29126	2.8742	2.77958	0.115543	7.72607	0.642321	7.05426	4	7.9135	0.259	5.29126e-07	2.77958
rr:rr>30cm	share	U	7.22851	1.59591	2.20708	0.0701717	4.87119	0.309749	6.84241	4	7.9135	0.259	7.22851e-07	2.20708
rr:rr>30cm	rms	V	1.45683	3.04865	2.85513	0.117013	8.15179	0.668177	3.0289	4	7.9135	0.4316	1.45683e-07	2.85513
rr:rr>30cm	share	V	2.9975	1.64165	2.36566	0.0741098	5.59635	0.350637	1.95998	4	7.9135	0.4316	2.9975e-07	2.36566
rr:rr>30cm	rms	W	3.5715	1.42601	1.94128	0.0799591	3.76857	0.310446	2.04493	4	7.9135	0.0575	3.5715e-07	1.94128
rr:rr>30cm	share	W	5.11244	0.577537	1.12878	0.0484638	1.27415	0.10941	2.20147	4	7.9135	0.0575	5.11244e-07	1.12878
rr:rr>30cm	rms	U(joint)	3.54464	1.17818	2.83937	0.0700711	8.062	0.397915	12.9667	14	7.9135	0.259	3.54464e-07	2.83937
rr:rr>30cm	rms	V(joint)	3.54464	1.17818	2.78596	0.0740493	7.76155	0.412596	12.9667	14	7.9135	0.4316	3.54464e-07	2.78596
rr:rr>30cm	rms	W(joint)	3.54464	1.17818	1.94256	0.0702099	3.77352	0.272773	12.9667	14	7.9135	0.0575	3.54464e-07	1.94256
rr:rr>30cm	share	U(joint)	5.12469	0.515591	2.28407	0.0405557	5.21698	0.185264	14.4211	14	7.9135	0.259	5.12469e-07	2.28407
rr:rr>30cm	share	V(joint)	5.12469	0.515591	2.28177	0.0445528	5.20646	0.203318	14.4211	14	7.9135	0.4316	5.12469e-07	2.28177
rr:rr>30cm	share	W(joint)	5.12469	0.515591	1.12795	0.0451019	1.27226	0.101745	14.4211	14	7.9135	0.0575	5.12469e-07	1.12795
foff:foff<0.15	rms	U	-4.44347	3.60381	3.10036	0.163617	9.61226	1.01454	1.61908	4	7.9135	0.259	-4.44347e-07	3.10036
foff:foff<0.15	share	U	3.84761	1.96611	2.40966	0.0932869	5.80645	0.449579	2.41672	4	7.9135	0.259	3.84761e-07	2.40966
foff:foff<0.15	rms	V	1.26918	3.51443	2.82042	0.16251	7.95479	0.916696	0.57411	4	7.9135	0.4316	1.26918e-07	2.82042
foff:foff<0.15	share	V	3.12042	1.76081	2.27629	0.0924713	5.18149	0.420982	0.394131	4	7.9135	0.4316	3.12042e-07	2.27629
foff:foff<0.15	rms	W	3.33591	1.85497	1.89007	0.122006	3.57238	0.4612	3.18913	4	7.9135	0.0575	3.33591e-07	1.89007
foff:foff<0.15	share	W	4.46079	0.738865	1.13924	0.071391	1.29787	0.162663	3.22797	4	7.9135	0.0575	4.46079e-07	1.13924
foff:foff<0.15	rms	U(joint)	1.62759	1.49307	2.83436	0.0969212	8.03359	0.549419	9.07882	14	7.9135	0.259	1.62759e-07	2.83436
foff:foff<0.15	rms	V(joint)	1.62759	1.49307	2.80559	0.0962505	7.87135	0.540079	9.07882	14	7.9135	0.4316	1.62759e-07	2.80559
foff:foff<0.15	rms	W(joint)	1.62759	1.49307	1.98788	0.0983779	3.95166	0.391127	9.07882	14	7.9135	0.0575	1.62759e-07	1.98788
foff:foff<0.15	share	U(joint)	4.21589	0.643757	2.39433	0.0528826	5.73281	0.253236	6.57082	14	7.9135	0.259	4.21589e-07	2.39433
foff:foff<0.15	share	V(joint)	4.21589	0.643757	2.22507	0.054236	4.95093	0.241358	6.57082	14	7.9135	0.4316	4.21589e-07	2.22507
foff:foff<0.15	share	W(joint)	4.21589	0.643757	1.15966	0.063407	1.34482	0.147062	6.57082	14	7.9135	0.0575	4.21589e-07	1.15966
foff:foff>=0.15	rms	U	10.4171	4.46278	2.67626	0.132307	7.16238	0.708178	10.1973	4	7.9135	0.259	1.04171e-06	2.67626
foff:foff>=0.15	share	U	8.65095	1.85967	2.11255	0.0734756	4.46287	0.310442	8.00187	4	7.9135	0.259	8.65095e-07	2.11255
foff:foff>=0.15	rms	V	0.582372	3.26573	2.94929	0.123435	8.69834	0.728092	4.30715	4	7.9135	0.4316	5.82372e-08	2.94929
foff:foff>=0.15	share	V	2.17046	1.64471	2.45833	0.0724058	6.04337	0.355994	2.37302	4	7.9135	0.4316	2.17046e-07	2.45833
foff:foff>=0.15	rms	W	4.61069	1.5463	1.95696	0.0852639	3.82969	0.333716	5.72645	4	7.9135	0.0575	4.61069e-07	1.95696
foff:foff>=0.15	share	W	5.46402	0.654985	1.1469	0.055863	1.31537	0.128138	3.21961	4	7.9135	0.0575	5.46402e-07	1.1469
foff:foff>=0.15	rms	U(joint)	4.45741	1.33368	2.82449	0.0712555	7.97774	0.402521	23.4321	14	7.9135	0.259	4.45741e-07	2.82449
foff:foff>=0.15	rms	V(joint)	4.45741	1.33368	2.81908	0.0785663	7.94719	0.442969	23.4321	14	7.9135	0.4316	4.45741e-07	2.81908
foff:foff>=0.15	rms	W(joint)	4.45741	1.33368	1.96397	0.0770961	3.85716	0.302828	23.4321	14	7.9135	0.0575	4.45741e-07	1.96397
foff:foff>=0.15	share	U(joint)	5.365	0.578334	2.21781	0.042932	4.91868	0.19043	20.5121	14	7.9135	0.259	5.365e-07	2.21781
foff:foff>=0.15	share	V(joint)	5.365	0.578334	2.3357	0.0461394	5.45551	0.215536	20.5121	14	7.9135	0.4316	5.365e-07	2.3357
foff:foff>=0.15	share	W(joint)	5.365	0.578334	1.15372	0.0513499	1.33108	0.118487	20.5121	14	7.9135	0.0575	5.365e-07	1.15372
advance:adv<0.10	rms	U	8.5623	4.34518	2.59722	0.146752	6.74556	0.762294	3.67253	4	7.9135	0.259	8.5623e-07	2.59722
advance:adv<0.10	share	U	5.71718	1.4578	1.866	0.0753218	3.48197	0.281102	5.02683	4	7.9135	0.259	5.71718e-07	1.866
advance:adv<0.10	rms	V	5.11955	3.01194	2.66998	0.115688	7.12879	0.617772	4.70785	4	7.9135	0.4316	5.11955e-07	2.66998
advance:adv<0.10	share	V	3.60432	1.49901	2.13594	0.0690238	4.56222	0.294861	4.4583	4	7.9135	0.4316	3.60432e-07	2.13594
advance:adv<0.10	rms	W	2.41687	1.492	1.74031	0.108879	3.02866	0.378966	2.35134	4	7.9135	0.0575	2.41687e-07	1.74031
advance:adv<0.10	share	W	3.71072	0.53531	0.766881	0.0719689	0.588107	0.110383	1.68708	4	7.9135	0.0575	3.71072e-07	0.766881
advance:adv<0.10	rms	U(joint)	3.43482	1.27784	2.74027	0.0813208	7.5091	0.445682	12.9026	14	7.9135	0.259	3.43482e-07	2.74027
advance:adv<0.10	rms	V(joint)	3.43482	1.27784	2.72349	0.0741966	7.4174	0.404148	12.9026	14	7.9135	0.4316	3.43482e-07	2.72349
advance:adv<0.10	rms	W(joint)	3.43482	1.27784	1.67217	0.100366	2.79614	0.335656	12.9026	14	7.9135	0.0575	3.43482e-07	1.67217
advance:adv<0.10	share	U(joint)	3.91429	0.476445	1.94394	0.0426756	3.77891	0.165918	12.8891	14	7.9135	0.259	3.91429e-07	1.94394
advance:adv<0.10	share	V(joint)	3.91429	0.476445	2.12405	0.0427639	4.51157	0.181665	12.8891	14	7.9135	0.4316	3.91429e-07	2.12405
advance:adv<0.10	share	W(joint)	3.91429	0.476445	0.742967	0.0683357	0.552	0.101542	12.8891	14	7.9135	0.0575	3.91429e-07	0.742967
advance:adv0.10-0.25	rms	U	2.00137	3.70876	2.86566	0.12052	8.21199	0.690739	8.13892	4	7.9135	0.259	2.00137e-07	2.86566
advance:adv0.10-0.25	share	U	5.50038	1.88441	2.38649	0.0741185	5.69536	0.353767	5.45051	4	7.9135	0.259	5.50038e-07	2.38649
advance:adv0.10-0.25	rms	V	-4.41099	3.136	3.05126	0.129246	9.3102	0.788729	2.96611	4	7.9135	0.4316	-4.41099e-07	3.05126
advance:adv0.10-0.25	share	V	-0.327494	1.76817	2.5183	0.0829257	6.34184	0.417664	3.90441	4	7.9135	0.4316	-3.27494e-08	2.5183
advance:adv0.10-0.25	rms	W	2.99636	1.69616	2.16789	0.0930045	4.69974	0.403247	1.40398	4	7.9135	0.0575	2.99636e-07	2.16789
advance:adv0.10-0.25	share	W	6.39113	0.860774	1.41045	0.0616356	1.98938	0.173868	2.8374	4	7.9135	0.0575	6.39113e-07	1.41045
advance:adv0.10-0.25	rms	U(joint)	1.41479	1.38413	2.88241	0.0689392	8.3083	0.397422	16.8545	14	7.9135	0.259	1.41479e-07	2.88241
advance:adv0.10-0.25	rms	V(joint)	1.41479	1.38413	2.82464	0.0808017	7.97857	0.456471	16.8545	14	7.9135	0.4316	1.41479e-07	2.82464
advance:adv0.10-0.25	rms	W(joint)	1.41479	1.38413	2.24339	0.0772027	5.03279	0.346391	16.8545	14	7.9135	0.0575	1.41479e-07	2.24339
advance:adv0.10-0.25	share	U(joint)	5.16115	0.71591	2.3977	0.0462666	5.74898	0.221867	23.9023	14	7.9135	0.259	5.16115e-07	2.3977
advance:adv0.10-0.25	share	V(joint)	5.16115	0.71591	2.27663	0.0528596	5.18303	0.240683	23.9023	14	7.9135	0.4316	5.16115e-07	2.27663
advance:adv0.10-0.25	share	W(joint)	5.16115	0.71591	1.48225	0.0519514	2.19705	0.15401	23.9023	14	7.9135	0.0575	5.16115e-07	1.48225
advance:adv0.25-0.5	rms	U	-1.96376	3.58168	3.13107	0.138005	9.8036	0.864207	2.9238	4	7.9135	0.259	-1.96376e-07	3.13107
advance:adv0.25-0.5	share	U	2.98959	1.78696	2.03273	0.107361	4.13199	0.436473	4.35319	4	7.9135	0.259	2.98959e-07	2.03273
advance:adv0.25-0.5	rms	V	3.66782	3.63024	2.88395	0.132258	8.31716	0.762851	1.53147	4	7.9135	0.4316	3.66782e-07	2.88395
advance:adv0.25-0.5	share	V	4.17594	1.73866	1.9581	0.0932033	3.83417	0.365004	1.03519	4	7.9135	0.4316	4.17594e-07	1.9581
advance:adv0.25-0.5	rms	W	4.03277	2.08413	2.14801	0.107677	4.61393	0.46258	0.859658	4	7.9135	0.0575	4.03277e-07	2.14801
advance:adv0.25-0.5	share	W	4.88481	1.03024	1.38506	0.0798473	1.9184	0.221187	0.694246	4	7.9135	0.0575	4.88481e-07	1.38506
advance:adv0.25-0.5	rms	U(joint)	2.74355	1.61362	2.96723	0.0901508	8.80446	0.534996	7.48973	14	7.9135	0.259	2.74355e-07	2.96723
advance:adv0.25-0.5	rms	V(joint)	2.74355	1.61362	2.91317	0.0817182	8.48656	0.476118	7.48973	14	7.9135	0.4316	2.74355e-07	2.91317
advance:adv0.25-0.5	rms	W(joint)	2.74355	1.61362	2.20629	0.0867627	4.8677	0.382847	7.48973	14	7.9135	0.0575	2.74355e-07	2.20629
advance:adv0.25-0.5	share	U(joint)	4.36277	0.794022	1.95779	0.0670635	3.83293	0.262592	6.94143	14	7.9135	0.259	4.36277e-07	1.95779
advance:adv0.25-0.5	share	V(joint)	4.36277	0.794022	1.94933	0.0588526	3.79988	0.229446	6.94143	14	7.9135	0.4316	4.36277e-07	1.94933
advance:adv0.25-0.5	share	W(joint)	4.36277	0.794022	1.42037	0.0643421	2.01746	0.182779	6.94143	14	7.9135	0.0575	4.36277e-07	1.42037
