det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_13	71	1	4591	4595	5	2.98	3.59	289.5	236.9	2.0	1.83	nan	2	GAP-live	0	0.00	0.29	0.29	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_13	71	1	4602	4604	3	2.09	3.03	289.6	243.8	2.0	4.95	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_13	71	1	4612	4615	4	2.37	2.90	289.6	250.8	2.0	11.20	nan	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	1	4624	4627	4	2.49	2.99	289.5	257.9	2.0	16.32	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	1	4632	4639	8	5.37	6.00	289.5	264.3	2.0	12.51	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	1	4642	4650	9	5.41	6.07	289.5	271.1	2.0	5.85	0.29	2	GAP-live	0	0.17	0.00	0.17	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	84	0	5929	5940	12	27.56	26.14	271.7	222.9	28.0	5.38	2.11	3	GAP-live	0	0.04	0.04	0.08	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/3live:i/3live:t	0			
pdvd	039252_13	84	0	5946	5956	11	12.38	12.65	265.9	215.7	41.7	5.91	3.32	3	GAP-live	0	0.12	0.08	0.20	0.00	0.00	0.00	0.00	0.09	3live:i/3live:t	0			
pdvd	039252_13	84	0	5998	6006	9	5.39	6.00	250.4	214.3	62.2	2.66	3.69	2	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.11	3live:i/3live:t/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/1blank:i	0			
pdvd	039252_14	37	0	323	325	3	2.33	2.90	-203.8	324.8	92.1	1.68	0.38	3	GAP-short	0	0.67	0.00	0.67	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/2blank+:i/2blank+:i/1blank:i	0			
pdvd	039252_14	38	0	432	436	5	18.00	18.60	-29.4	313.6	88.1	2.37	3.12	3	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.20	3live:t/3live:i/3live:e/1blank:i/3live:t/1blank:i	0			
pdvd	039252_14	40	0	845	847	3	2.08	2.62	-114.8	324.5	192.0	1.87	2.05	2	GAP-dead	0	0.40	0.00	0.40	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/1dead:i	0			
