det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_11	34	0	657	695	39	24.24	23.69	-162.0	404.4	36.1	0.77	3.81	3	XID	1	0.47	1.00	1.00	0.00	0.00	0.00	0.00	0.08	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	697	701	5	2.82	3.34	-159.1	417.4	39.2	0.65	2.38	3	XID	1	0.29	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	703	716	14	8.24	8.81	-157.6	423.4	40.5	0.65	2.71	3	D-3live	1	0.61	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0	10.50		
pdhd	028084_11	34	0	718	731	14	9.28	9.39	-155.7	431.9	42.5	0.78	2.94	3	XID	1	0.16	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	734	739	6	3.60	3.74	-154.0	438.6	43.4	0.81	3.37	3	XID	1	0.43	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	742	757	16	10.09	9.84	-152.3	446.2	44.9	0.69	3.60	3	XID	1	0.25	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	759	765	7	4.61	4.78	-150.9	453.1	46.4	0.69	2.02	3	D-3live	1	0.50	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0	5.61		
pdhd	028084_11	34	0	776	779	4	2.33	2.84	-148.7	460.7	49.7	0.36	2.68	2	XID	1	0.33	1.00	1.00	0.00	0.00	0.00	0.00	0.25	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	36	0	949	956	8	4.63	5.32	-194.8	513.4	175.2	2.00	3.61	1	GAP-short	0	0.73	0.00	0.73	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_11	36	0	1055	1078	24	15.36	15.65	-222.8	450.7	175.1	7.06	2.05	2	GAP-live	0	0.23	0.00	0.23	0.00	0.00	0.04	0.46	0.08	3live:i/3live:t/1blank:i/1blank:t	0			
