arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	029107_26	570	242	239	150.7490	0	0.5732	8	0.2885	0.8192	0.9947	91	12
base	029107_26	880	123	118	76.0219	1	0.1441	8	0.3933	0.5543	1.6887	13	2
base	029107_26	890	101	101	63.1437	0	0.0000	7	0.8030	0.2734	0.4785	0	0
base	029107_26	1110	368	368	232.4820	0	0.0000	8	1.2101	0.1022	2.3498	0	0
base	029107_27	380	277	277	176.9539	0	0.0072	8	0.8474	0.0628	0.3865	0	0
base	029107_27	390	78	77	49.6223	1	0.2597	7	0.5451	0.4939	2.9557	14	1
base	029107_27	990	89	89	55.8708	0	0.0000	7	1.4199	0.1205	1.9215	0	0
base	029107_28	300	29	26	18.1160	1	0.0000	4	1.7235	0.0501	nan	0	0
base	029107_28	540	82	75	51.3841	0	0.7733	8	0.1720	0.6372	1.9146	57	4
base	029107_28	1090	865	827	559.9070	1	0.0085	7	1.0921	0.0496	0.9197	4	1
base	029107_29	680	119	119	119.0447	0	0.0084	4	0.6545	0.3410	nan	0	0
base	029107_29	1190	93	93	56.1779	0	0.0645	9	1.2509	0.2854	4.1623	0	0
base	029107_3	230	164	164	105.0030	0	0.0610	8	0.7178	0.4182	0.8170	6	0
base	029107_3	860	261	261	166.9615	0	0.0996	8	0.7957	0.2726	1.3258	20	2
base	029107_3	920	128	110	80.9651	1	0.0000	8	1.1225	0.0551	1.7452	0	0
base	029107_3	990	141	140	89.1005	1	0.0571	8	0.9532	0.4349	0.6534	7	1
base	029107_3	1070	467	467	293.7394	0	0.0021	8	1.1974	0.0883	1.2092	1	0
base	029107_3	1110	497	492	319.1039	1	0.0427	8	1.0939	0.0974	1.9507	12	2
base	029107_4	580	306	306	192.8730	0	0.0000	8	1.0222	0.0504	2.0803	0	0
base	029107_4	690	112	106	74.5436	1	0.0000	8	1.1557	0.1542	1.4763	0	0
base	029107_4	720	85	85	53.8345	0	0.0000	8	1.7389	0.2335	1.6240	0	0
base	029107_4	1230	337	337	213.9530	0	0.0475	7	1.0404	0.0800	2.6684	10	1
base	029107_5	280	67	67	41.3337	0	0.4179	8	0.3617	0.4705	0.5129	16	2
base	029107_5	340	159	142	101.9129	0	0.3451	8	0.3006	0.5110	1.7457	48	4
base	029107_5	370	580	579	377.5887	0	0.0035	8	0.7685	0.2485	0.8442	2	0
base	029107_5	390	62	62	36.9562	0	0.7742	7	0.1817	0.6725	0.5670	37	4
base	029107_5	420	112	96	160.9388	0	0.6354	4	0.2966	0.4378	1.5814	45	4
base	029107_5	960	110	110	71.5105	0	0.0273	8	0.7586	0.2081	1.0803	3	1
base	029107_5	1070	10	10	28.5933	0	0.6000	1	nan	nan	0.4714	2	0
base	029107_5	1190	66	66	43.1004	0	0.0758	7	0.6826	0.4496	1.0451	4	1
base	029107_6	1220	119	119	73.6247	0	0.0168	8	1.0680	0.0826	2.6556	2	0
base	029107_7	320	457	457	313.2874	0	0.1138	8	1.0910	0.0447	2.3630	29	5
base	029107_7	850	301	301	196.0765	0	0.0066	8	0.9921	0.3403	0.8552	2	0
base	029107_8	390	30	30	18.8043	0	0.3667	4	0.3832	0.2808	nan	5	1
base	029107_8	1360	1030	1030	666.5566	0	0.0214	7	0.7140	0.2344	1.1874	12	0
base	029107_9	610	853	837	547.4026	0	0.1673	7	0.1563	0.7424	1.4190	102	6
base	029107_9	630	105	105	67.5967	0	0.7905	8	0.2081	0.5387	1.7432	65	2
base	029107_9	1090	370	370	234.7952	0	0.0081	8	1.1715	0.2706	1.2250	0	0
