label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:q3	rms	W	5	2073.67	463	9.90037e+06	2.70001	2.11364	1.84487	5.38191	1.06243	6.22612	1.45519e-11	0	0.763746
phase:q3	share	W	0	247.788	501	9.8682e+06	2.10741	0.627792	1.27453	2.3539	0.263658	5.67147	1.45519e-11	0	0.865575
phase:q3	share	W	1	635.723	506	9.88137e+06	1.99648	0.976681	1.41507	2.48814	0.2011	5.03444	1.45519e-11	0	0.856584
phase:q3	share	W	2	981.298	515	9.90084e+06	2.30768	1.36255	1.52943	2.95895	0.259159	5.80801	1.45519e-11	0	0.826511
phase:q3	share	W	3	1355.19	499	9.87804e+06	2.18325	1.69591	1.64422	3.31691	0.254031	4.59395	1.45519e-11	0	0.805181
phase:q3	share	W	4	1720.3	497	9.87883e+06	2.48831	1.91204	1.74907	3.68847	0.380728	5.595	1.45519e-11	0	0.784396
phase:q3	share	W	5	2073.67	463	9.90037e+06	2.70001	2.11364	1.84487	4.08317	0.353778	6.22612	1.45519e-11	0	0.763746
phase:q4	rms	U	0	246.727	288	8.74548e+06	4.22672	1.77807	2.35168	12.4575	2.87574	20.2341	1.45519e-11	0	0.641384
phase:q4	rms	U	1	675.745	286	8.74943e+06	3.6933	2.72152	2.43894	6.55631	1.48553	12.1822	1.45519e-11	0	0.661476
phase:q4	rms	U	2	965.849	265	8.7703e+06	4.03938	3.04101	2.49622	10.5747	2.70411	13.3	1.45519e-11	0	0.632957
phase:q4	rms	U	3	1270.03	301	8.76147e+06	4.18007	3.31502	2.5549	11.9967	2.49213	13.0111	1.45519e-11	0	0.607155
phase:q4	rms	U	4	1599.59	300	8.74968e+06	4.04849	3.41452	2.61699	10.6687	1.83402	11.58	1.45519e-11	0	0.613427
phase:q4	rms	U	5	2016.16	348	8.77166e+06	4.04638	3.45835	2.69343	10.6469	2.59595	11.6675	1.45519e-11	0	0.635331
phase:q4	share	U	0	246.727	288	8.74548e+06	4.22672	1.77807	2.35168	6.23009	1.486	20.2341	1.45519e-11	0	0.641384
phase:q4	share	U	1	675.745	286	8.74943e+06	3.6933	2.72152	2.43894	4.85346	0.93695	12.1822	1.45519e-11	0	0.661476
phase:q4	share	U	2	965.849	265	8.7703e+06	4.03938	3.04101	2.49622	6.89044	1.21419	13.3	1.45519e-11	0	0.632957
phase:q4	share	U	3	1270.03	301	8.76147e+06	4.18007	3.31502	2.5549	9.16828	1.43664	13.0111	1.45519e-11	0	0.607155
