run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
720	38	14	work-r3cv-d116p3bw/f081/pr_evt14	1	21	9	194	1706	0.22499	0.29566	0	0	0.1355	0.0051546	0	0	0.98954	998	0.010309	0.10309	0	0	0.23457	0	0	194	0.0053763	0.0053763	0.27867	0	0.041237	186	0	0	0.22361	0	0	194
720	38	23	work-r3cv-d116p3bw/f081/pr_evt23	0																																		
720	38	25	work-r3cv-d116p3bw/f081/pr_evt25	1	7	3	538	629.89	0.074898	0.38821	0.0055762	0	0.098268	0	0	0	0.98529	3373	0	0.0055762	0	0	0.26466	0	0	538	0	0	0.23511	0	0	538	0	0	0.25255	0	0.0055762	535
720	38	28	work-r3cv-d116p3bw/f081/pr_evt28	0																																		
720	38	35	work-r3cv-d116p3bw/f081/pr_evt35	0																																		
720	38	36	work-r3cv-d116p3bw/f081/pr_evt36	1	15	2	377	474.4	0.039348	0.019674	0.029178	0	0.096835	0.01061	0	0	0.85825	2250	0	0.02122	0	0	0.25184	0	0	377	0.01061	0.01061	0.25137	0	0	377	0	0	0.26075	0	0.0026525	376
720	38	42	work-r3cv-d116p3bw/f081/pr_evt42	1	17	21	252	1836.1	0.10964	0.054006	0	0	0.12583	0	0	0	0.97534	1334	0.031746	0.15873	0	0	0.25961	0	0	252	0	0	0.24136	0	0	252	0	0	0.20886	0	0	252
720	38	46	work-r3cv-d116p3bw/f081/pr_evt46	0																																		
720	38	47	work-r3cv-d116p3bw/f081/pr_evt47	1	11	8	32	840.38	0.023918	0.023073	0	0	0.078291	0	0	0	1	90	0.0625	0.375	0	0	0.24862	0	0	32	0	0	0.29254	0	0	32	0	0	0.22394	0	0	32
720	38	50	work-r3cv-d116p3bw/f081/pr_evt50	1	8	8	277	767.77	0.033417	0.15083	0.021661	0	0.18696	0.0072202	0	0	0.92105	1776	0.0072202	0.11552	0.0036101	0.0036101	0.24944	0	0	277	0.0072202	0.0072202	0.24269	0	0	277	0.0072202	0.0036101	0.21452	0	0	277
720	38	6	work-r3cv-d116p3bw/f081/pr_evt6	0																																		
720	38	7	work-r3cv-d116p3bw/f081/pr_evt7	0																																		
720	38	9	work-r3cv-d116p3bw/f081/pr_evt9	1	23	14	702	1975.7	0.23844	0.3367	0.012821	0	0.095684	0.01567	0.50614	1	0.79107	5053	0.022792	0.076923	0.0057061	0.0028531	0.241	0	0.0014245	701	0.014245	0.012821	0.26325	0	0	702	0.0057307	0.0028653	0.16507	0	0.005698	698
